,training_dates,testing_dates,model_key,classifier,parameters,feature_sets,outcome,model_result,auc-roc,p_at_1,p_at_2,p_at_5,p_at_10,p_at_20,p_at_30,p_at_50,r_at_1,r_at_2,r_at_5,r_at_10,r_at_20,r_at_30,r_at_50,f1_at_1,f1_at_2,f1_at_5,f1_at_10,f1_at_20,f1_at_30,f1_at_50
0,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",LR,"LogisticRegression(C=0.01, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'penalty': 'l2', 'C': 0.01}",['economic'],top20_rate,,0.45204116174345094,0.01639344262295082,0.032520325203252036,0.042071197411003236,0.05501618122977346,0.0889248181083266,0.12722371967654986,0.17394115745231167,0.0007911392405063291,0.0031645569620253164,0.010284810126582278,0.02689873417721519,0.08702531645569621,0.18670886075949367,0.42563291139240506,0.0015094339622641509,0.005767844268204758,0.016528925619834708,0.036131774707757705,0.08796481407437026,0.1513305546649567,0.24695891668579298
1,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",LR,"LogisticRegression(C=0.01, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'penalty': 'l2', 'C': 0.01}",['economic'],top20_num,,0.4267416937316902,0.0,0.024390243902439025,0.042071197411003236,0.05825242718446602,0.09215844785772029,0.10943396226415095,0.15906886517943744,0.0,0.0024057738572574178,0.010425020048115477,0.028869286287089013,0.09141940657578188,0.16279069767441862,0.3945469125902165,0.0,0.00437956204379562,0.016709511568123392,0.0386058981233244,0.09178743961352656,0.13088330109606705,0.22672811059907835
2,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",LR,"LogisticRegression(C=0.01, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'penalty': 'l2', 'C': 0.01}",['eviction'],top20_rate,,0.727863772959433,0.5901639344262295,0.34959349593495936,0.16181229773462782,0.17313915857605178,0.2950687146321746,0.36873315363881404,0.34820562560620755,0.028481012658227847,0.03401898734177215,0.03955696202531646,0.08465189873417721,0.2887658227848101,0.5411392405063291,0.8520569620253164,0.05433962264150943,0.06200432588320116,0.06357279084551812,0.1137088204038257,0.2918832467013195,0.43860211606284066,0.4943768648152398
3,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",LR,"LogisticRegression(C=0.01, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'penalty': 'l2', 'C': 0.01}",['eviction'],top20_num,,0.7280947852493281,0.13114754098360656,0.18699186991869918,0.10032362459546926,0.08414239482200647,0.1948261924009701,0.35633423180592994,0.37083737471710315,0.006415396952686447,0.018444266238973536,0.024859663191659984,0.04170008019246191,0.19326383319967924,0.5300721732157178,0.9198075380914194,0.012232415902140673,0.033576642335766425,0.03984575835475579,0.055764075067024126,0.19404186795491146,0.4261766602192134,0.5285714285714286
4,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",LR,"LogisticRegression(C=0.01, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'penalty': 'l2', 'C': 0.01}",['tract'],top20_rate,,0.8033080293078351,0.8524590163934426,0.8211382113821138,0.7540453074433657,0.6828478964401294,0.5464834276475343,0.4679245283018868,0.34303265438086,0.04113924050632911,0.07990506329113924,0.1843354430379747,0.3338607594936709,0.5348101265822784,0.6867088607594937,0.8393987341772152,0.07849056603773584,0.14563806777217014,0.2962492053401145,0.44845908607863977,0.5405837664934027,0.5565886502084001,0.4870323617167776
5,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",LR,"LogisticRegression(C=0.01, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'penalty': 'l2', 'C': 0.01}",['tract'],top20_num,,0.853952056305857,0.9508196721311475,0.9186991869918699,0.8317152103559871,0.7750809061488673,0.6143896523848019,0.5002695417789758,0.3630779178790818,0.046511627906976744,0.09061748195669607,0.20609462710505214,0.38412189254210105,0.6094627105052125,0.7441860465116279,0.90056134723336,0.08868501529051988,0.16496350364963502,0.3303341902313625,0.5136729222520107,0.6119162640901772,0.5983236621534495,0.5175115207373272
6,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",LR,"LogisticRegression(C=0.01, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'penalty': 'l2', 'C': 0.01}",['demographic'],top20_rate,,0.6825226701094029,0.5573770491803278,0.5609756097560976,0.47896440129449835,0.4919093851132686,0.4074373484236055,0.3504043126684636,0.2812803103782735,0.02689873417721519,0.05458860759493671,0.11708860759493671,0.24050632911392406,0.3987341772151899,0.5142405063291139,0.6882911392405063,0.05132075471698113,0.09949531362653209,0.18817546090273363,0.3230605738575983,0.40303878448620556,0.41680025649246555,0.39935735597888455
7,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",LR,"LogisticRegression(C=0.01, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'penalty': 'l2', 'C': 0.01}",['demographic'],top20_num,,0.7915785088098864,0.819672131147541,0.8292682926829268,0.7119741100323624,0.6197411003236246,0.5117219078415521,0.4377358490566038,0.33236340122858066,0.040096230954290296,0.0817963111467522,0.1764234161988773,0.3071371291098637,0.5076182838813151,0.6511627906976745,0.8243785084202085,0.0764525993883792,0.14890510948905109,0.28277634961439585,0.41072386058981236,0.5096618357487922,0.5235332043842682,0.47373271889400925
8,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",LR,"LogisticRegression(C=0.01, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'penalty': 'l2', 'C': 0.01}","['economic', 'eviction']",top20_rate,,0.45221162154933414,0.01639344262295082,0.032520325203252036,0.042071197411003236,0.05501618122977346,0.0889248181083266,0.12722371967654986,0.17394115745231167,0.0007911392405063291,0.0031645569620253164,0.010284810126582278,0.02689873417721519,0.08702531645569621,0.18670886075949367,0.42563291139240506,0.0015094339622641509,0.005767844268204758,0.016528925619834708,0.036131774707757705,0.08796481407437026,0.1513305546649567,0.24695891668579298
9,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",LR,"LogisticRegression(C=0.01, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'penalty': 'l2', 'C': 0.01}","['economic', 'eviction']",top20_num,,0.4269244364242962,0.0,0.024390243902439025,0.042071197411003236,0.05825242718446602,0.09215844785772029,0.10943396226415095,0.15745231167151633,0.0,0.0024057738572574178,0.010425020048115477,0.028869286287089013,0.09141940657578188,0.16279069767441862,0.3905372894947875,0.0,0.00437956204379562,0.016709511568123392,0.0386058981233244,0.09178743961352656,0.13088330109606705,0.22442396313364057
