,training_dates,testing_dates,model_key,classifier,parameters,feature_sets,outcome,model_result,auc-roc,p_at_1,p_at_2,p_at_5,p_at_10,p_at_20,p_at_30,p_at_50,r_at_1,r_at_2,r_at_5,r_at_10,r_at_20,r_at_30,r_at_50,f1_at_1,f1_at_2,f1_at_5,f1_at_10,f1_at_20,f1_at_30,f1_at_50
0,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 5}",['demographic'],e_num_inc_20pct,RF: feature_importances: results/RF0.csv,0.5380106137486167,0.46774193548387094,0.45161290322580644,0.4115755627009646,0.38362760834670945,0.37319422150882825,0.37185660781166396,0.38061617458279845,0.013110307414104882,0.02531645569620253,0.05786618444846293,0.10804701627486438,0.21021699819168174,0.3141952983725136,0.5361663652802894,0.025505716798592787,0.04794520547945205,0.10146650812524771,0.16860670194003527,0.2689415847310584,0.3406027934329821,0.44519519519519524
1,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 10}",['demographic'],e_num_inc_20pct,RF: feature_importances: results/RF1.csv,0.5339246916412512,0.41935483870967744,0.3467741935483871,0.3890675241157556,0.36436597110754415,0.35553772070626005,0.36329588014981273,0.3738767650834403,0.011754068716094032,0.019439421338155516,0.054701627486437615,0.10262206148282098,0.20027124773960217,0.3069620253164557,0.5266726943942134,0.022867194371152155,0.036815068493150686,0.09591755846214825,0.16014109347442682,0.2562174667437825,0.3327615780445969,0.4373123123123123
2,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 5}",['demographic'],e_num_inc_20pct,RF: feature_importances: results/RF2.csv,0.5055713745917789,0.3709677419354839,0.3629032258064516,0.35691318327974275,0.3402889245585875,0.33707865168539325,0.34991974317817015,0.35462130937098846,0.010397830018083183,0.02034358047016275,0.05018083182640145,0.09584086799276673,0.189873417721519,0.29566003616636527,0.4995479204339964,0.020228671943711522,0.03852739726027397,0.08799048751486326,0.14955908289241623,0.24291497975708498,0.320509679000245,0.4147897897897898
3,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 10}",['demographic'],e_num_inc_20pct,RF: feature_importances: results/RF3.csv,0.48668490728995173,0.4032258064516129,0.4032258064516129,0.36977491961414793,0.3418940609951846,0.31942215088282505,0.31942215088282505,0.34178433889602056,0.011301989150090416,0.022603978300180832,0.051989150090415916,0.09629294755877034,0.17992766726943943,0.26989150090415914,0.48146473779385174,0.02198768689533861,0.04280821917808219,0.09116131589377725,0.15026455026455027,0.23019086176980916,0.2925753491791228,0.3997747747747748
4,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 5}",['demographic'],e_num_inc_20pct,RF: feature_importances: results/RF4.csv,0.4576646041942188,0.016129032258064516,0.3064516129032258,0.3247588424437299,0.30337078651685395,0.30497592295345105,0.294275013376137,0.31514762516046213,0.0004520795660036166,0.017179023508137433,0.045660036166365284,0.08544303797468354,0.1717902350813743,0.24864376130198915,0.44394213381555153,0.0008795074758135443,0.032534246575342464,0.08006341656757829,0.13333333333333333,0.21978021978021978,0.2695417789757413,0.36861861861861855
5,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 10}",['demographic'],e_num_inc_20pct,RF: feature_importances: results/RF5.csv,0.44306299650031933,0.3870967741935484,0.24193548387096775,0.3408360128617363,0.31942215088282505,0.2929373996789727,0.2825040128410915,0.3013478818998716,0.0108499095840868,0.013562386980108499,0.04792043399638336,0.08996383363471971,0.16500904159132007,0.23869801084990958,0.424502712477396,0.021108179419525065,0.025684931506849317,0.08402695204122076,0.14038800705467375,0.2111046847888953,0.2587601078167116,0.3524774774774775
6,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 5}",['economic'],e_num_inc_20pct,RF: feature_importances: results/RF6.csv,0.5201241194569647,0.016129032258064516,0.008064516129032258,0.3183279742765273,0.36436597110754415,0.2624398073836276,0.3852327447833066,0.36745827984595636,0.0004520795660036166,0.0004520795660036166,0.044755877034358044,0.10262206148282098,0.14783001808318263,0.325497287522604,0.5176311030741411,0.0008795074758135443,0.0008561643835616438,0.07847800237812128,0.16014109347442682,0.18912666281087334,0.352854692477334,0.42980480480480476
7,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 10}",['economic'],e_num_inc_20pct,RF: feature_importances: results/RF7.csv,0.5153675002024236,0.3709677419354839,0.3225806451612903,0.3279742765273312,0.391653290529695,0.37158908507223115,0.36490101658640983,0.3629653401797176,0.010397830018083183,0.018083182640144666,0.0461121157323689,0.11030741410488246,0.20931283905967452,0.30831826401446655,0.5113019891500904,0.020228671943711522,0.03424657534246575,0.08085612366230678,0.1721340388007055,0.2677848467322152,0.3342318059299192,0.42454954954954954
8,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 5}",['economic'],e_num_inc_20pct,RF: feature_importances: results/RF8.csv,0.47763178906552234,0.20967741935483872,0.1935483870967742,0.2315112540192926,0.29213483146067415,0.3539325842696629,0.308721241305511,0.34178433889602056,0.005877034358047016,0.0108499095840868,0.0325497287522604,0.08227848101265822,0.19936708860759494,0.2608499095840868,0.48146473779385174,0.011433597185576077,0.02054794520547945,0.057074910820451845,0.12839506172839507,0.25506072874493924,0.2827738299436413,0.3997747747747748
9,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 10}",['economic'],e_num_inc_20pct,RF: feature_importances: results/RF9.csv,0.48504094581342827,0.3870967741935484,0.3387096774193548,0.33762057877813506,0.2985553772070626,0.3547351524879615,0.3493846976993044,0.3411424903722721,0.0108499095840868,0.0189873417721519,0.04746835443037975,0.08408679927667269,0.19981916817359854,0.29520795660036164,0.4805605786618445,0.021108179419525065,0.035958904109589046,0.08323424494649229,0.1312169312169312,0.2556390977443609,0.32001960303847093,0.399024024024024
