year,state,county,region,division,total_bldg,total_units,total_value
2000,10,1,3,5,854,858,75130874
2000,10,3,3,5,1699,2331,164781826
2000,10,5,3,5,1422,1422,174176014
2000,11,1,3,5,201,806,53992642
2000,12,1,3,5,1157,1973,164573829
2000,12,3,3,5,110,111,10283972
2000,12,5,3,5,793,1452,167156092
2000,12,7,3,5,59,59,3971115
2000,12,9,3,5,3506,4284,509727300
2000,12,11,3,5,9362,11970,1486624200
2000,12,13,3,5,23,23,1315749
2000,12,15,3,5,1264,1670,182298418
2000,12,17,3,5,1183,1190,78696530
2000,12,19,3,5,1521,1528,162962131
2000,12,21,3,5,4502,7970,1188311382
2000,12,23,3,5,289,289,16744355
2000,12,27,3,5,57,121,14883894
2000,12,29,3,5,52,53,5781837
2000,12,31,3,5,3773,5801,552243697
2000,12,33,3,5,1394,1455,136706819
2000,12,35,3,5,1352,1445,108655747
2000,12,37,3,5,131,131,23184497
2000,12,39,3,5,80,80,10197324
2000,12,41,3,5,70,70,5656093
2000,12,43,3,5,25,25,2384534
2000,12,45,3,5,188,188,21897773
2000,12,47,3,5,36,36,3649200
2000,12,49,3,5,54,56,4927584
2000,12,51,3,5,75,75,6499990
2000,12,53,3,5,1186,1326,137923689
2000,12,55,3,5,439,450,39579420
2000,12,57,3,5,7697,11656,995236371
2000,12,59,3,5,41,41,3140565
2000,12,61,3,5,1278,2059,362733309
2000,12,63,3,5,195,269,16368260
2000,12,65,3,5,70,70,7653299
2000,12,67,3,5,30,30,2624290
2000,12,69,3,5,3832,5231,437957345
2000,12,71,3,5,5714,9120,1283813422
2000,12,73,3,5,1427,2200,200211675
2000,12,75,3,5,135,156,15520713
2000,12,77,3,5,6,6,648154
2000,12,79,3,5,45,45,3756949
2000,12,81,3,5,2915,3452,411873656
2000,12,83,3,5,2339,2354,363775772
2000,12,85,3,5,1072,1384,248290473
2000,12,86,3,5,6465,12475,1221756889
2000,12,87,3,5,198,203,26657586
2000,12,89,3,5,651,758,147036600
2000,12,91,3,5,1079,1489,177457453
2000,12,93,3,5,129,131,10828294
2000,12,95,3,5,6474,10239,907845193
2000,12,97,3,5,3215,5035,487061334
2000,12,99,3,5,7016,10504,1331562915
2000,12,101,3,5,3125,3486,337384036
2000,12,103,3,5,1870,2776,410941371
2000,12,105,3,5,3637,4746,330680170
2000,12,107,3,5,179,180,14912734
2000,12,109,3,5,2108,2484,450117548
