,attribute_name,attribute_value,k,model_id,score_threshold,tpr,tnr,for,fdr,fpr,fnr,npv,precision,pp,pn,ppr,pprev,fp,fn,tn,tp,group_label_neg,group_label_pos,group_size,total_entities,prev,ppr_disparity,pprev_disparity,precision_disparity,fdr_disparity,for_disparity,fpr_disparity,fnr_disparity,tpr_disparity,tnr_disparity,npv_disparity,ppr_ref_group_value,pprev_ref_group_value,precision_ref_group_value,fdr_ref_group_value,for_ref_group_value,fpr_ref_group_value,fnr_ref_group_value,tpr_ref_group_value,tnr_ref_group_value,npv_ref_group_value,Statistical Parity,Impact Parity,FDR Parity,FPR Parity,FOR Parity,FNR Parity,TPR Parity,TNR Parity,NPV Parity,Precision Parity,TypeI Parity,TypeII Parity,Equalized Odds,Unsupervised Fairness,Supervised Fairness
0,pct_renter_occupied_bins,high,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,223,265,0.223,0.4569672131147541,0,0,0,0,0,0,488,6762,0.0,2.6547619047619047,16.842505854800937,,,,,,,,,low,low,low,low,low,low,low,low,low,low,False,False,,,,,,,,,,,,False,
1,pct_renter_occupied_bins,low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,84,3012,0.084,0.027131782945736434,0,0,0,0,0,0,3096,6762,0.0,1.0,1.0,,,,,,,,,low,low,low,low,low,low,low,low,low,low,True,True,,,,,,,,,,,,True,
2,pct_renter_occupied_bins,med-high,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,401,713,0.401,0.3599640933572711,0,0,0,0,0,0,1114,6762,0.0,4.773809523809524,13.26724801231085,,,,,,,,,low,low,low,low,low,low,low,low,low,low,False,False,,,,,,,,,,,,False,
3,pct_renter_occupied_bins,med-low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,292,1772,0.292,0.14147286821705427,0,0,0,0,0,0,2064,6762,0.0,3.476190476190476,5.214285714285714,,,,,,,,,low,low,low,low,low,low,low,low,low,low,False,False,,,,,,,,,,,,False,
4,pct_white_bins,high,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,168,3468,0.168,0.0462046204620462,0,0,0,0,0,0,3636,6762,0.0,0.49122807017543857,0.14347750564530137,,,,,,,,,low,low,low,low,low,low,low,low,low,low,False,False,,,,,,,,,,,,False,
5,pct_white_bins,low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,342,720,0.342,0.3220338983050847,0,0,0,0,0,0,1062,6762,0.0,1.0,1.0,,,,,,,,,low,low,low,low,low,low,low,low,low,low,True,True,,,,,,,,,,,,True,
6,pct_white_bins,med-high,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,258,1049,0.258,0.19739862280030604,0,0,0,0,0,0,1307,6762,0.0,0.7543859649122807,0.6129746708009504,,,,,,,,,low,low,low,low,low,low,low,low,low,low,False,False,,,,,,,,,,,,False,
7,pct_white_bins,med-low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,232,525,0.232,0.30647291941875826,0,0,0,0,0,0,757,6762,0.0,0.6783625730994152,0.9516790655635126,,,,,,,,,low,low,low,low,low,low,low,low,low,low,False,True,,,,,,,,,,,,False,
8,pct_af_am_bins,high,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,188,339,0.188,0.3567362428842505,0,0,0,0,0,0,527,6762,0.0,1.0,1.0,,,,,,,,,high,high,high,high,high,high,high,high,high,high,True,True,,,,,,,,,,,,True,
9,pct_af_am_bins,low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,400,4697,0.4,0.07847753580537571,0,0,0,0,0,0,5097,6762,0.0,2.127659574468085,0.21998756047570744,,,,,,,,,high,high,high,high,high,high,high,high,high,high,False,False,,,,,,,,,,,,False,
10,pct_af_am_bins,med-high,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,171,244,0.171,0.41204819277108434,0,0,0,0,0,0,415,6762,0.0,0.9095744680851064,1.1550499871827735,,,,,,,,,high,high,high,high,high,high,high,high,high,high,True,True,,,,,,,,,,,,True,
11,pct_af_am_bins,med-low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,241,482,0.241,0.3333333333333333,0,0,0,0,0,0,723,6762,0.0,1.2819148936170213,0.9343971631205673,,,,,,,,,high,high,high,high,high,high,high,high,high,high,False,True,,,,,,,,,,,,False,
12,pct_hispanic_bins,high,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,7,116,0.007,0.056910569105691054,0,0,0,0,0,0,123,6762,0.0,1.0,1.0,,,,,,,,,high,high,high,high,high,high,high,high,high,high,True,True,,,,,,,,,,,,True,
13,pct_hispanic_bins,low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,850,5143,0.85,0.1418321374937427,0,0,0,0,0,0,5993,6762,0.0,121.42857142857142,2.4921932731043364,,,,,,,,,high,high,high,high,high,high,high,high,high,high,False,False,,,,,,,,,,,,False,
14,pct_hispanic_bins,med-high,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,27,144,0.027,0.15789473684210525,0,0,0,0,0,0,171,6762,0.0,3.857142857142857,2.774436090225564,,,,,,,,,high,high,high,high,high,high,high,high,high,high,False,False,,,,,,,,,,,,False,
15,pct_hispanic_bins,med-low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,116,359,0.116,0.24421052631578946,0,0,0,0,0,0,475,6762,0.0,16.571428571428573,4.291127819548872,,,,,,,,,high,high,high,high,high,high,high,high,high,high,False,False,,,,,,,,,,,,False,
16,pct_am_ind_bins,high,1000,1,1000.0_abs,,,0.0,,,,0.0,,0,3,0.0,0.0,0,0,0,0,0,0,3,6762,0.0,,,,,,,,,,,high,high,high,high,high,high,high,high,high,high,,,,,,,,,,,,,,,
17,pct_am_ind_bins,low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,998,5754,0.998,0.1478080568720379,0,0,0,0,0,0,6752,6762,0.0,10.0,10.0,,,,,,,,,high,high,high,high,high,high,high,high,high,high,False,False,,,,,,,,,,,,False,
