,feature,feature_importances
87,eviction_filing_rate_pct_change_1yr_lag,0.16209483993959278
72,eviction_rate_lag,0.07480280029790738
96,eviction_rate_pct_change_5yr_lag,0.06584496153712921
74,conversion_rate_lag,0.05724375583249354
133,eviction_rate_lag_tr,0.05132954306961629
11,renter_occupied_households,0.044339786835158865
91,eviction_rate_pct_change_3yr_lag,0.032489625448835484
79,eviction_filings_avg_5yr_lag,0.02988799061930637
66,total_value_pct_change_5yr,0.023829833852118832
139,eviction_filing_rate_avg_3yr_lag_tr,0.023433723095072308
90,evictions_pct_change_3yr_lag,0.023303769310584053
86,eviction_rate_pct_change_1yr_lag,0.01885922943004161
73,eviction_filing_rate_lag,0.018233100549792425
132,evictions_lag_tr,0.0172742925527857
80,evictions_avg_5yr_lag,0.016995131613043994
50,total_units,0.016750700745419483
95,evictions_pct_change_5yr_lag,0.01530222063914827
85,evictions_pct_change_1yr_lag,0.01344757037309031
60,total_value_pct_change_1yr,0.012943887655593678
103,median_property_value_avg_5yr_tr,0.012701628748196603
56,total_units_avg_5yr,0.012618127285993805
135,conversion_rate_lag_tr,0.012077376532026151
16,median_property_value,0.012034731477875201
71,evictions_lag,0.01199551655754708
4,pct_af_am,0.011549090146828886
138,eviction_rate_avg_3yr_lag_tr,0.010440331297196794
55,total_bldg_avg_5yr,0.010410230907855703
75,eviction_filings_avg_3yr_lag,0.010301696866391171
134,eviction_filing_rate_lag_tr,0.009851606944133697
20,median_household_income_avg_5yr,0.009438947860224428
63,total_value_pct_change_3yr,0.009119579926840817
53,total_units_avg_3yr,0.008743641125065182
143,eviction_filing_rate_avg_5yr_lag_tr,0.008354261418031451
17,population_avg_5yr,0.007615896719538275
0,population,0.007577873089973789
106,pct_af_am_avg_5yr_tr,0.006261337400099191
102,median_household_income_avg_5yr_tr,0.005463286776331044
152,eviction_rate_pct_change_3yr_lag_tr,0.005390800364874921
155,eviction_filings_pct_change_5yr_lag_tr,0.0052970011925718785
159,conversion_rate_pct_change_5yr_lag_tr,0.005224904070298054
76,evictions_avg_3yr_lag,0.005162248601186852
49,total_bldg,0.00463042789985852
26,pct_am_ind_avg_5yr,0.004627356707332759
88,conversion_rate_pct_change_1yr_lag,0.004613444604100034
101,median_gross_rent_avg_5yr_tr,0.004600996314819783
52,total_bldg_avg_3yr,0.004185211347457816
144,conversion_rate_avg_5yr_lag_tr,0.00410059177027809
137,evictions_avg_3yr_lag_tr,0.004041660089316308
83,conversion_rate_avg_5yr_lag,0.003808551528979762
47,renter_occupied_households_pct_change_5yr,0.0037788214767984795
51,total_value,0.0036610378706079657
154,conversion_rate_pct_change_3yr_lag_tr,0.003305786582667115
28,pct_nh_pi_avg_5yr,0.0032963779443904175
141,evictions_avg_5yr_lag_tr,0.0032610905584795416
105,pct_white_avg_5yr_tr,0.0030251167337695655
32,pct_renter_occupied_avg_5yr,0.002932109477705635
14,median_gross_rent,0.002891130080027882
13,rent_burden,0.002717845460531709
117,median_gross_rent_pct_change_5yr_tr,0.0025955428980097934
158,eviction_filing_rate_pct_change_5yr_lag_tr,0.0024159937183774625
130,pct_renter_occupied_pct_change_5yr_tr,0.002350157153232576
36,median_household_income_pct_change_5yr,0.002167745169844477
92,eviction_filing_rate_pct_change_3yr_lag,0.0021251834510396367
142,eviction_rate_avg_5yr_lag_tr,0.0019524021799149315
