,training_dates,testing_dates,model_key,classifier,parameters,feature_sets,outcome,model_result,auc-roc,p_at_1,p_at_2,p_at_5,p_at_10,p_at_20,p_at_30,p_at_50,r_at_1,r_at_2,r_at_5,r_at_10,r_at_20,r_at_30,r_at_50,f1_at_1,f1_at_2,f1_at_5,f1_at_10,f1_at_20,f1_at_30,f1_at_50
0,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=5,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=5, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 5, 'subsample': 0.5}",['demographic'],e_num_inc_20pct,,0.5001213223732012,0.2903225806451613,0.31451612903225806,0.33225806451612905,0.3193548387096774,0.33360193392425463,0.34712520150456744,0.3599742184982275,0.008100810081008101,0.01755175517551755,0.04635463546354635,0.0891089108910891,0.1863186318631863,0.2907290729072907,0.5027002700270027,0.01576182136602452,0.03324808184143223,0.08135860979462875,0.13933849401829698,0.2390990470690153,0.316433994611805,0.4195305164319249
1,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=5,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=5, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 5, 'subsample': 0.5}",['economic'],e_num_inc_20pct,,0.515138072542194,0.3548387096774194,0.3467741935483871,0.3161290322580645,0.35161290322580646,0.34568896051571313,0.33906501880709294,0.3651305188527232,0.009900990099009901,0.01935193519351935,0.04410441044104411,0.09810981098109811,0.19306930693069307,0.28397839783978396,0.5099009900990099,0.01926444833625219,0.03665814151747655,0.07740916271721959,0.1534130893736805,0.2477620560207912,0.3090864560372275,0.42553990610328635
2,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=5,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=5, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 5, 'subsample': 0.5}",['eviction'],e_num_inc_20pct,,0.6686546478443025,0.43548387096774194,0.532258064516129,0.5741935483870968,0.6,0.5584206285253828,0.5276732939279957,0.4730905575249758,0.012151215121512151,0.0297029702970297,0.08010801080108011,0.16741674167416742,0.3118811881188119,0.44194419441944194,0.6606660666066607,0.023642732049036778,0.056265984654731455,0.14060031595576622,0.2617874736101337,0.4002310135720473,0.48101885868234145,0.5513615023474179
3,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=5,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=5, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 5, 'subsample': 0.5}",['tract'],e_num_inc_20pct,,0.5514710733121505,0.46774193548387094,0.43548387096774194,0.4064516129032258,0.4161290322580645,0.41337630942788073,0.4105319720580333,0.3896229455365775,0.013051305130513051,0.024302430243024302,0.05670567056705671,0.11611161116111611,0.23087308730873088,0.3438343834383438,0.5441044104410441,0.02539404553415061,0.04603580562659846,0.0995260663507109,0.18156228008444755,0.2962749061507364,0.37423463139848157,0.4540845070422535
4,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=5,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=5, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 5, 'subsample': 0.5}","['demographic', 'economic']",e_num_inc_20pct,,0.5151888494572349,0.41935483870967744,0.3870967741935484,0.3580645161290323,0.36612903225806454,0.354552780016116,0.36217087587318647,0.3660973251691911,0.011701170117011701,0.021602160216021602,0.04995499549954995,0.10216021602160216,0.19801980198019803,0.3033303330333033,0.5112511251125113,0.022767075306479857,0.040920716112531966,0.0876777251184834,0.15974665728360313,0.2541149292520935,0.33014939995101644,0.42666666666666664
5,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=5,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=5, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 5, 'subsample': 0.5}","['demographic', 'eviction']",e_num_inc_20pct,,0.6604491774478651,0.5806451612903226,0.5161290322580645,0.5580645161290323,0.5629032258064516,0.5342465753424658,0.5104782375067168,0.4692233322591041,0.016201620162016202,0.0288028802880288,0.07785778577857785,0.15706570657065708,0.29837983798379836,0.42754275427542754,0.6552655265526552,0.03152364273204904,0.05456095481670929,0.13665086887835703,0.24560168895144266,0.3829049956684955,0.46534410972324275,0.5468544600938967
6,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=5,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=5, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 5, 'subsample': 0.5}","['demographic', 'tract']",e_num_inc_20pct,,0.5447261028813725,0.3387096774193548,0.4032258064516129,0.4032258064516129,0.4064516129032258,0.38678485092667203,0.40085975282106395,0.38446664518208185,0.009450945094509451,0.022502250225022502,0.056255625562556255,0.11341134113411341,0.21602160216021601,0.3357335733573357,0.536903690369037,0.01838879159369527,0.042625745950554135,0.09873617693522907,0.17733990147783252,0.27721628645682933,0.3654175851089885,0.44807511737089206
7,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=5,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=5, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 5, 'subsample': 0.5}","['economic', 'eviction']",e_num_inc_20pct,,0.6723019440498267,0.5967741935483871,0.6209677419354839,0.5967741935483871,0.5935483870967742,0.5592264302981467,0.5362708221386352,0.47115694489203996,0.01665166516651665,0.034653465346534656,0.08325832583258326,0.16561656165616562,0.31233123312331235,0.44914491449144917,0.6579657965796579,0.03239929947460595,0.06564364876385337,0.146129541864139,0.258972554539057,0.40080854750216577,0.4888562331618908,0.5491079812206572
8,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=5,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=5, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 5, 'subsample': 0.5}","['economic', 'tract']",e_num_inc_20pct,,0.5554498032634588,0.3387096774193548,0.3548387096774194,0.3935483870967742,0.39838709677419354,0.4125705076551168,0.40838259000537347,0.39639058975185304,0.009450945094509451,0.019801980198019802,0.05490549054905491,0.11116111611161116,0.2304230423042304,0.342034203420342,0.5535553555355536,0.01838879159369527,0.037510656436487634,0.09636650868878358,0.17382125263898662,0.2956973722206179,0.37227528777859414,0.4619718309859155
9,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=5,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=5, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 5, 'subsample': 0.5}","['eviction', 'tract']",e_num_inc_20pct,,0.6688501304949772,0.5806451612903226,0.5967741935483871,0.6,0.6129032258064516,0.5608380338436745,0.5249865663621709,0.47276828875281984,0.016201620162016202,0.0333033303330333,0.08370837083708371,0.171017101710171,0.3132313231323132,0.4396939693969397,0.6602160216021602,0.03152364273204904,0.0630861040068201,0.14691943127962087,0.2674173117522871,0.40196361536240255,0.4785696791574823,0.5509859154929578
10,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=5,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=5, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 5, 'subsample': 0.5}","['demographic', 'economic', 'eviction']",e_num_inc_20pct,,0.6691511771659093,0.5483870967741935,0.5887096774193549,0.6225806451612903,0.617741935483871,0.5680902497985496,0.5308973670069855,0.46857879471479214,0.0153015301530153,0.03285328532853286,0.08685868586858686,0.17236723672367238,0.3172817281728173,0.4446444644464446,0.6543654365436543,0.0297723292469352,0.062233589087809044,0.15244865718799366,0.26952850105559467,0.4071614207334681,0.48395787411217245,0.5461032863849765
11,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=5,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=5, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 5, 'subsample': 0.5}","['demographic', 'economic', 'tract']",e_num_inc_20pct,,0.5534298535275214,0.45161290322580644,0.45161290322580644,0.4161290322580645,0.3903225806451613,0.3988718775181305,0.40569586243954864,0.3938124395746052,0.012601260126012601,0.025202520252025202,0.058055805580558055,0.10891089108910891,0.22277227722772278,0.3397839783978398,0.54995499549955,0.024518388791593695,0.047740835464620636,0.1018957345971564,0.17030260380014076,0.28587929540860524,0.369826108253735,0.45896713615023477
12,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=5,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=5, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 5, 'subsample': 0.5}","['demographic', 'eviction', 'tract']",e_num_inc_20pct,,0.661529500088563,0.6290322580645161,0.5887096774193549,0.6225806451612903,0.5983870967741935,0.5519742143432715,0.523374529822676,0.470512407347728,0.01755175517551755,0.03285328532853286,0.08685868586858686,0.16696669666966696,0.30828082808280827,0.4383438343834383,0.6570657065706571,0.034150612959719794,0.062233589087809044,0.15244865718799366,0.2610837438423645,0.3956107421311002,0.4771001714425668,0.548356807511737
13,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=5,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=5, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 5, 'subsample': 0.5}","['economic', 'eviction', 'tract']",e_num_inc_20pct,,0.6761476034651659,0.5,0.5483870967741935,0.5967741935483871,0.5838709677419355,0.5511684125705076,0.5298226759806556,0.48114727682887526,0.01395139513951395,0.0306030603060306,0.08325832583258326,0.1629162916291629,0.30783078307830786,0.44374437443744374,0.671917191719172,0.02714535901926445,0.057971014492753624,0.146129541864139,0.2547501759324419,0.39503320820098187,0.48297820230222877,0.5607511737089202
14,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=5,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=5, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 5, 'subsample': 0.5}","['demographic', 'economic', 'eviction', 'tract']",e_num_inc_20pct,,0.6653204288802375,0.6612903225806451,0.6774193548387096,0.6548387096774193,0.6064516129032258,0.5680902497985496,0.5276732939279957,0.4660006445375443,0.01845184518451845,0.037803780378037805,0.09135913591359136,0.1692169216921692,0.3172817281728173,0.44194419441944194,0.6507650765076508,0.03590192644483362,0.07161125319693094,0.16034755134281203,0.2646023926812104,0.4071614207334681,0.48101885868234145,0.5430985915492957
15,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))","(datetime.datetime(2008, 1, 1, 0, 0), datetime.datetime(2008, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=5,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=5, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 5, 'subsample': 0.5}",['demographic'],e_num_inc_20pct,,0.5153916365365265,0.3709677419354839,0.3870967741935484,0.36451612903225805,0.3671497584541063,0.3604183427192277,0.38498659517426276,0.37954326149887424,0.009918068132815868,0.02069857697283312,0.048727899956877964,0.09831824062095731,0.1931867184131091,0.30961621388529537,0.5088400172488141,0.019319613607727843,0.0392959476054032,0.08596424496006085,0.15510204081632653,0.25154407636159465,0.3432122370936902,0.43478260869565216
16,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))","(datetime.datetime(2008, 1, 1, 0, 0), datetime.datetime(2008, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=5,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=5, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 5, 'subsample': 0.5}",['economic'],e_num_inc_20pct,,0.495600944262005,0.5,0.4032258064516129,0.38387096774193546,0.31561996779388085,0.3563958165728077,0.3576407506702413,0.39208748793824383,0.013367830961621389,0.0215610176800345,0.0513152220784821,0.08451918930573524,0.19103061664510565,0.2876239758516602,0.525657611039241,0.02603947921041579,0.04093327875562833,0.09052871814378091,0.13333333333333333,0.24873666479505893,0.3188336520076482,0.4491525423728813
