,pct_renter_occupied,pct_white,pct_af_am,pct_hispanic,pct_am_ind,pct_asian,pct_nh_pi,pct_multiple,pct_other,renter_occupied_households,median_household_income,median_property_value,label_value,score
6,med-high,med-low,med-low,low,low,low,low,low,low,low,low,low,0,0.5587188612099644
14,high,med-low,med-high,low,low,low,low,low,low,med-low,low,low,1,0.9336426914153132
23,high,med-high,low,low,low,low,low,low,low,med-low,low,low,1,0.9336426914153132
37,high,low,med-high,low,low,low,low,low,low,med-low,low,low,1,0.9336426914153132
46,med-high,med-low,med-low,med-low,low,low,low,low,low,low,low,low,1,0.11822822328338548
56,high,med-low,med-low,low,low,low,low,low,low,low,low,low,0,0.32599837000814996
63,med-high,med-low,med-low,med-low,low,low,low,low,low,low,low,low,1,0.5587188612099644
69,med-high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
79,med-high,med-low,med-low,low,low,low,low,low,low,low,low,low,0,0.5587188612099644
87,high,med-high,low,low,low,low,low,low,low,med-low,low,low,1,0.7490176817288802
95,med-high,med-low,low,low,low,med-low,low,low,low,low,low,low,1,0.5587188612099644
103,high,med-high,low,low,low,low,low,low,low,med-low,low,low,1,0.3495702005730659
114,med-high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
124,high,high,low,low,low,low,low,low,low,med-low,low,low,0,0.11822822328338548
134,med-high,med-high,low,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
143,high,med-low,med-low,low,low,low,low,low,low,med-low,low,low,1,0.9336426914153132
152,high,med-high,low,low,low,low,low,med-low,low,med-low,low,low,0,0.5587188612099644
160,high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.32599837000814996
170,high,med-high,low,low,low,low,low,low,low,med-low,low,low,1,0.32599837000814996
179,high,med-low,low,low,low,low,low,low,low,med-low,low,med-low,0,0.3495702005730659
188,med-high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.3495702005730659
196,med-high,med-low,med-low,med-low,low,low,low,low,low,med-low,low,low,1,0.7490176817288802
201,med-low,med-low,med-high,low,low,low,low,low,low,low,med-low,low,0,0.11822822328338548
216,high,med-low,low,med-low,low,low,low,low,low,med-low,low,low,1,0.9336426914153132
224,med-high,med-low,low,med-low,low,low,low,low,low,low,low,low,1,0.11822822328338548
239,med-high,med-low,low,med-low,low,low,low,low,low,low,low,low,1,0.3495702005730659
246,high,low,low,med-high,low,low,low,low,low,low,low,low,0,0.11822822328338548
255,med-high,med-low,low,med-high,low,low,low,low,low,low,low,low,0,0.5587188612099644
273,med-low,med-low,low,low,low,low,low,low,low,low,low,low,1,0.7490176817288802
296,med-high,med-low,med-low,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
303,low,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
310,med-low,med-low,low,low,low,med-low,low,low,low,low,low,low,0,0.11822822328338548
317,med-low,med-high,low,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
325,med-low,med-high,low,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
334,med-low,med-high,low,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
349,med-low,med-low,low,low,low,med-low,low,low,low,low,med-low,low,0,0.11822822328338548
355,med-high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.7490176817288802
365,med-high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
374,med-low,med-low,low,low,low,low,low,low,low,low,med-low,low,0,0.11822822328338548
384,med-high,med-low,low,low,low,low,low,low,low,low,low,low,0,0.5587188612099644
395,high,med-low,low,low,low,low,low,med-low,low,med-low,low,low,1,0.9336426914153132
402,med-high,low,low,med-high,low,low,low,med-low,low,low,low,low,0,0.3495702005730659
412,med-high,low,med-low,low,low,med-low,low,low,low,low,low,low,0,0.3495702005730659
420,med-high,med-low,low,low,low,med-high,low,low,low,low,low,low,0,0.32599837000814996
429,med-low,med-high,low,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
436,high,med-high,low,low,low,med-low,low,low,low,med-low,low,low,1,0.7490176817288802
453,med-high,med-low,low,low,low,low,low,low,low,low,low,low,0,0.17674691720493246
462,med-high,low,low,low,low,med-high,low,low,low,low,low,low,0,0.014148463266574256
471,med-high,med-low,low,low,low,med-low,low,low,low,low,low,low,0,0.014148463266574256
476,med-high,med-low,low,med-low,low,low,low,low,low,low,low,low,0,0.014148463266574256
488,med-high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
496,med-low,med-high,low,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
512,med-high,med-low,low,low,low,med-low,low,low,low,low,low,low,0,0.3495702005730659
519,med-low,med-low,low,low,low,med-low,low,low,low,low,low,low,0,0.014148463266574256
528,med-high,low,low,med-low,low,low,low,low,low,low,low,low,1,0.11822822328338548
537,med-low,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
550,med-high,med-low,low,low,low,med-low,low,low,low,low,low,low,0,0.11822822328338548
559,med-low,med-low,low,low,low,med-low,low,low,low,low,med-low,low,0,0.014148463266574256
566,med-high,low,low,low,low,med-high,low,med-low,low,low,low,low,0,0.11822822328338548
575,med-high,med-low,low,low,low,med-high,low,low,low,med-low,low,low,1,0.3495702005730659
583,med-high,med-low,low,low,low,med-low,low,low,low,low,low,low,0,0.11822822328338548
592,high,low,med-low,low,low,med-low,low,low,low,low,low,low,0,0.9336426914153132
608,med-high,low,low,med-low,low,low,low,low,low,low,low,low,0,0.5587188612099644
617,med-low,med-high,low,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
632,high,med-high,low,low,low,low,low,low,low,low,low,low,1,0.9336426914153132
640,med-high,med-high,low,low,low,low,low,med-low,low,low,low,low,0,0.3495702005730659
653,low,med-high,low,low,low,low,low,low,low,low,med-low,low,1,0.11822822328338548
677,med-high,med-low,med-low,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
701,med-high,med-high,low,low,low,low,low,low,low,low,low,low,1,0.32599837000814996
711,high,low,low,low,low,low,low,med-high,low,low,low,low,0,0.11822822328338548
714,med-high,high,low,low,low,low,low,low,low,med-low,low,low,0,0.11822822328338548
724,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
742,med-high,med-high,low,med-low,low,low,low,low,low,low,low,low,0,0.014148463266574256
750,med-high,med-low,low,med-low,low,low,low,low,low,low,low,low,0,0.5587188612099644
756,med-high,med-low,low,med-low,low,low,low,low,low,low,low,low,0,0.11822822328338548
762,med-high,med-low,low,med-low,low,low,low,low,low,low,low,low,1,0.11822822328338548
769,med-low,med-low,low,med-low,low,low,low,low,low,low,low,low,0,0.11822822328338548
778,med-high,med-high,low,med-low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
795,med-high,med-high,low,med-low,low,low,low,low,low,med-low,low,low,0,0.5587188612099644
801,med-high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.11822822328338548
809,high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.9336426914153132
815,high,low,med-low,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
823,med-low,med-high,low,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
832,high,med-low,med-low,low,med-low,med-low,low,low,low,low,low,low,0,0.5587188612099644
839,high,med-low,med-low,low,low,low,low,low,low,med-low,low,low,0,0.5587188612099644
849,high,med-low,low,low,low,med-low,low,low,low,med-low,low,low,0,0.9336426914153132
855,med-low,med-high,low,low,low,low,low,low,low,low,low,low,1,0.5587188612099644
864,high,med-high,med-low,low,low,low,low,low,low,low,low,low,0,0.5587188612099644
872,high,med-low,low,low,low,low,low,low,low,med-low,low,low,1,0.5587188612099644
891,low,high,low,low,low,low,low,low,low,low,low,low,1,0.7490176817288802
897,med-high,med-high,low,low,low,low,low,low,low,low,low,low,1,0.17674691720493246
904,high,med-high,med-low,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
914,med-high,med-high,low,low,low,low,low,low,low,med-low,low,low,0,0.7490176817288802
921,med-high,med-high,low,low,low,low,low,low,low,med-low,low,low,1,0.5587188612099644
930,med-high,med-low,med-low,low,low,low,low,low,low,low,low,low,0,0.32599837000814996
944,med-low,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
951,med-low,high,low,low,low,low,low,low,low,low,low,med-low,0,0.014148463266574256
959,med-low,med-high,low,low,low,low,low,low,low,low,low,med-low,0,0.014148463266574256
978,high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
986,med-high,med-low,med-low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
995,med-low,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
1005,med-high,med-high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
1012,med-high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
1021,med-high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.11822822328338548
1033,high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.3495702005730659
1042,med-high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
1059,med-high,med-low,med-low,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
1075,med-high,med-high,med-low,low,low,low,low,low,low,med-low,low,low,1,0.9336426914153132
1084,med-high,med-low,med-low,low,low,low,low,low,low,med-low,low,low,1,0.9336426914153132
1090,med-high,med-low,low,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
1107,high,med-low,med-low,low,low,low,low,low,low,med-low,low,low,0,0.5587188612099644
1115,med-high,med-low,low,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
1124,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.11822822328338548
1131,med-low,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.11822822328338548
1138,low,med-low,med-low,low,low,low,low,low,low,low,low,low,0,0.17674691720493246
1147,med-low,med-high,low,med-low,low,low,low,low,low,low,low,low,0,0.11822822328338548
1156,med-low,med-high,low,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
1163,high,med-low,med-low,low,low,low,low,low,low,low,low,low,0,0.9336426914153132
1173,med-high,med-low,med-low,low,low,low,low,low,low,med-low,low,low,0,0.11822822328338548
1181,high,med-low,med-low,low,low,low,low,low,low,low,low,low,0,0.32599837000814996
1187,high,med-high,low,low,low,low,low,low,low,med-low,low,low,1,0.9336426914153132
1196,high,med-low,med-low,low,low,low,low,med-low,low,low,low,low,0,0.014148463266574256
1212,med-high,med-high,low,low,low,low,low,low,low,med-low,low,low,0,0.9336426914153132
1222,med-high,med-high,med-low,low,low,low,low,low,low,med-low,low,low,0,0.5587188612099644
1231,high,med-low,med-low,low,low,low,low,low,low,med-low,low,low,1,0.5587188612099644
1251,med-high,high,low,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
1261,med-high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
1275,high,high,low,low,low,low,low,low,low,med-low,low,low,1,0.11822822328338548
1282,high,high,low,low,low,low,low,low,low,med-low,low,low,0,0.11822822328338548
1289,high,med-low,low,low,low,low,low,med-low,low,med-low,low,low,0,0.7490176817288802
1298,med-high,high,low,low,low,low,low,low,low,low,low,low,0,0.3495702005730659
1312,med-high,med-high,low,med-low,low,low,low,low,low,low,low,low,0,0.11822822328338548
1321,med-low,med-high,low,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
1329,med-high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
1339,med-high,med-high,low,low,low,med-low,low,low,low,low,low,low,0,0.11822822328338548
1348,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
1355,med-high,med-high,low,med-low,low,low,low,low,low,low,low,low,0,0.17674691720493246
1363,med-high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.11822822328338548
1374,med-high,med-high,low,low,low,med-low,low,low,low,med-low,low,low,0,0.5587188612099644
1383,med-high,med-low,low,med-low,low,low,low,low,low,low,low,low,0,0.11822822328338548
1390,high,med-high,low,low,low,low,low,low,low,med-low,low,low,0,0.32599837000814996
1399,low,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
1419,med-high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
1424,high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
1431,low,med-high,low,med-low,low,low,low,low,low,low,low,low,0,0.014148463266574256
1439,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
1448,med-low,med-high,low,low,low,low,low,low,low,low,low,med-low,0,0.014148463266574256
1464,med-high,med-low,low,med-low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
1472,med-high,med-low,low,low,low,med-low,low,med-low,low,low,low,low,0,0.014148463266574256
1478,med-high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
1488,high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
1497,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
1505,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
1513,med-high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.014148463266574256
1530,med-low,med-high,low,med-low,low,low,low,low,low,low,low,low,0,0.014148463266574256
1538,med-high,med-high,low,low,low,low,low,med-high,low,low,med-low,low,0,0.11822822328338548
1560,high,high,low,low,low,low,low,low,low,low,low,med-low,0,0.014148463266574256
1568,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.17674691720493246
1581,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
1594,med-high,med-high,low,low,low,low,low,low,low,med-low,low,low,0,0.014148463266574256
1601,med-low,high,low,low,low,low,low,low,low,low,low,med-low,0,0.014148463266574256
1607,med-high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
1619,med-high,med-high,low,low,med-low,low,low,low,low,low,med-low,low,0,0.014148463266574256
1623,low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
1629,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
1636,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
1644,med-low,med-high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
1649,high,high,low,low,low,low,low,low,low,low,med-low,med-high,0,0.014148463266574256
1664,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
1674,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
1685,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
1696,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
1706,med-low,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
1714,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
1719,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.014148463266574256
1727,med-low,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.014148463266574256
1735,med-low,high,low,low,low,low,low,low,low,low,med-high,med-low,0,0.014148463266574256
