,feature,feature_importances
11,renter_occupied_households,0.06282447900534789
31,renter_occupied_households_avg_5yr,0.06016137999288468
97,eviction_filings_lag_tr,0.03628334335818401
102,eviction_filings_avg_3yr_lag_tr,0.03534334418290174
106,eviction_filings_avg_5yr_lag_tr,0.03394767037843404
24,pct_af_am_avg_5yr,0.03150646773514948
98,evictions_lag_tr,0.030103063908462138
4,pct_af_am,0.02355059463258905
32,pct_renter_occupied_avg_5yr,0.022826668391559505
2,pct_renter_occupied,0.022429909956207254
17,population_avg_5yr,0.02012586595602923
72,pct_af_am_avg_5yr_tr,0.01928142415034892
0,population,0.01804701643323405
56,pct_af_am_tr,0.01669429447533304
100,eviction_filing_rate_lag_tr,0.014681048643430313
15,median_household_income,0.013709086120430822
99,eviction_rate_lag_tr,0.013357013310106875
20,median_household_income_avg_5yr,0.013218996813543302
80,pct_renter_occupied_avg_5yr_tr,0.012696180898287224
103,evictions_avg_3yr_lag_tr,0.012554964433766268
64,pct_renter_occupied_tr,0.011618425881784163
18,poverty_rate_avg_5yr,0.01038173861460784
21,median_property_value_avg_5yr,0.009892365520009789
68,median_household_income_avg_5yr_tr,0.009674316937369285
107,evictions_avg_5yr_lag_tr,0.008769012280989296
63,renter_occupied_households_tr,0.008720193617766575
105,eviction_filing_rate_avg_3yr_lag_tr,0.008600291028504238
47,renter_occupied_households_pct_change_5yr,0.008224623270111621
79,renter_occupied_households_avg_5yr_tr,0.008199839298618844
104,eviction_rate_avg_3yr_lag_tr,0.00781325050539305
16,median_property_value,0.007785411820754981
66,poverty_rate_avg_5yr_tr,0.007694094033901361
71,pct_white_avg_5yr_tr,0.007600464574673829
69,median_property_value_avg_5yr_tr,0.007597999578519354
52,median_household_income_tr,0.007443736748737594
23,pct_white_avg_5yr,0.007063871020621099
108,eviction_rate_avg_5yr_lag_tr,0.006975453252457218
109,eviction_filing_rate_avg_5yr_lag_tr,0.006783496909926684
65,population_avg_5yr_tr,0.006766056543662264
73,pct_hispanic_avg_5yr_tr,0.006492711242779611
25,pct_hispanic_avg_5yr,0.00636520637249856
12,avg_hh_size,0.0063177394315751915
22,rent_burden_avg_5yr,0.006233138420361254
95,renter_occupied_households_pct_change_5yr_tr,0.006108254405534858
75,pct_asian_avg_5yr_tr,0.006100431872164198
19,median_gross_rent_avg_5yr,0.0059642680874104435
29,pct_multiple_avg_5yr,0.00573244252367449
49,population_tr,0.005707223242010091
33,population_pct_change_5yr,0.00556557139570751
48,pct_renter_occupied_pct_change_5yr,0.005530043174212367
3,pct_white,0.005482684481381499
1,poverty_rate,0.005424481097302865
53,median_property_value_tr,0.0054073924393251835
55,pct_white_tr,0.005341456695230956
36,median_household_income_pct_change_5yr,0.0052703174269189915
14,median_gross_rent,0.005204196199927631
116,eviction_filings_pct_change_3yr_lag_tr,0.005162528196953462
35,median_gross_rent_pct_change_5yr,0.005133396869223082
38,rent_burden_pct_change_5yr,0.005037855482649214
13,rent_burden,0.005014877895359253
121,eviction_filings_pct_change_5yr_lag_tr,0.005014473291116267
67,median_gross_rent_avg_5yr_tr,0.005012323436218856
70,rent_burden_avg_5yr_tr,0.004934738987054422
111,eviction_filings_pct_change_1yr_lag_tr,0.004855231033108825
37,median_property_value_pct_change_5yr,0.0048013868006913565
77,pct_multiple_avg_5yr_tr,0.004728021036945868
40,pct_af_am_pct_change_5yr,0.004487866794515175
27,pct_asian_avg_5yr,0.004418985148555726
5,pct_hispanic,0.004321384256448595
101,conversion_rate_lag_tr,0.004300416162409244
34,poverty_rate_pct_change_5yr,0.004289156005329998
57,pct_hispanic_tr,0.0042617524762481405
81,population_pct_change_5yr_tr,0.0041924242119281184
110,conversion_rate_avg_5yr_lag_tr,0.004170045107839872
26,pct_am_ind_avg_5yr,0.004147119356530843
88,pct_af_am_pct_change_5yr_tr,0.004069141254191292
96,pct_renter_occupied_pct_change_5yr_tr,0.004039136065796769
51,median_gross_rent_tr,0.003971824623916803
87,pct_white_pct_change_5yr_tr,0.003944193820278394
39,pct_white_pct_change_5yr,0.003906807945830538
89,pct_hispanic_pct_change_5yr_tr,0.003853778592850328
113,eviction_rate_pct_change_1yr_lag_tr,0.0038282802595181243
115,conversion_rate_pct_change_1yr_lag_tr,0.003824820730408709
78,pct_other_avg_5yr_tr,0.0038177260242836203
82,poverty_rate_pct_change_5yr_tr,0.003808056883136609
30,pct_other_avg_5yr,0.003794577561797584
85,median_property_value_pct_change_5yr_tr,0.0037515558747316124
41,pct_hispanic_pct_change_5yr,0.0037423532201479987
83,median_gross_rent_pct_change_5yr_tr,0.0037281347283349485
86,rent_burden_pct_change_5yr_tr,0.003697245578784534
84,median_household_income_pct_change_5yr_tr,0.0036728194877268107
74,pct_am_ind_avg_5yr_tr,0.003653014875697656
50,poverty_rate_tr,0.003652425456475183
54,rent_burden_tr,0.003651648413197935
114,eviction_filing_rate_pct_change_1yr_lag_tr,0.0036356475348730687
112,evictions_pct_change_1yr_lag_tr,0.0035125501107280445
120,conversion_rate_pct_change_3yr_lag_tr,0.0033308699352943756
119,eviction_filing_rate_pct_change_3yr_lag_tr,0.0031551938507175803
7,pct_asian,0.003066713889353701
61,pct_multiple_tr,0.0030438356655341247
59,pct_asian_tr,0.003013573089879752
118,eviction_rate_pct_change_3yr_lag_tr,0.0029921917317689943
9,pct_multiple,0.0029194668649382676
125,conversion_rate_pct_change_5yr_lag_tr,0.0028991488264104243
122,evictions_pct_change_5yr_lag_tr,0.0027853926445885625
123,eviction_rate_pct_change_5yr_lag_tr,0.0027778000088631693
117,evictions_pct_change_3yr_lag_tr,0.0027766515206227517
124,eviction_filing_rate_pct_change_5yr_lag_tr,0.002743796865950229
43,pct_asian_pct_change_5yr,0.0026772338997661832
91,pct_asian_pct_change_5yr_tr,0.0025453615422583935
93,pct_multiple_pct_change_5yr_tr,0.0025256596537297366
45,pct_multiple_pct_change_5yr,0.0021944623500696403
28,pct_nh_pi_avg_5yr,0.0019885457560537955
76,pct_nh_pi_avg_5yr_tr,0.0018327304650519365
62,pct_other_tr,0.0018019137990415383
94,pct_other_pct_change_5yr_tr,0.0016612188426866625
