,feature,feature_importances
0,total_bldg,0.17504494258927802
3,total_bldg_avg_3yr,0.16383032079326781
1,total_units,0.15458787278904054
2,total_value,0.1205482192119656
8,total_value_avg_5yr,0.07701411332249926
4,total_units_avg_3yr,0.07506056949957216
6,total_bldg_avg_5yr,0.06812196255152142
7,total_units_avg_5yr,0.048423211681402824
14,total_value_pct_change_3yr,0.038266955986594804
5,total_value_avg_3yr,0.025580582249182623
17,total_value_pct_change_5yr,0.022981094899797525
11,total_value_pct_change_1yr,0.018117572992144
16,total_units_pct_change_5yr,0.0064229030627133395
13,total_units_pct_change_3yr,0.003820996172420787
15,total_bldg_pct_change_5yr,0.002178682198599319
19,div_enc,0.0
18,div_sa,0.0
10,total_units_pct_change_1yr,0.0
12,total_bldg_pct_change_3yr,0.0
9,total_bldg_pct_change_1yr,0.0
20,urban,0.0
