,pct_renter_occupied,pct_white,pct_af_am,pct_hispanic,pct_am_ind,pct_asian,pct_nh_pi,pct_multiple,pct_other,renter_occupied_households,median_household_income,median_property_value,label_value,score
6,med-high,med-low,med-low,low,low,low,low,low,low,low,low,low,0,0.43065218150246204
14,high,med-low,med-high,low,low,low,low,low,low,med-low,low,low,1,0.9736849942726231
23,high,med-high,low,low,low,low,low,low,low,med-low,low,low,1,0.9500089572294975
37,high,low,med-high,low,low,low,low,low,low,med-low,low,low,1,0.9841692939889746
46,med-high,med-low,med-low,med-low,low,low,low,low,low,low,low,low,1,0.22280143375688294
56,high,med-low,med-low,low,low,low,low,low,low,low,low,low,0,0.34292649180884466
63,med-high,med-low,med-low,med-low,low,low,low,low,low,low,low,low,1,0.6524409731994874
69,med-high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.05335787625419271
79,med-high,med-low,med-low,low,low,low,low,low,low,low,low,low,0,0.6685969045774399
87,high,med-high,low,low,low,low,low,low,low,med-low,low,low,1,0.6535148194749383
95,med-high,med-low,low,low,low,med-low,low,low,low,low,low,low,1,0.6917664678376042
103,high,med-high,low,low,low,low,low,low,low,med-low,low,low,1,0.48543334529342774
114,med-high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.05323582769797176
124,high,high,low,low,low,low,low,low,low,med-low,low,low,0,0.09439476574919058
134,med-high,med-high,low,low,low,low,low,low,low,low,low,low,1,0.45475532906990707
143,high,med-low,med-low,low,low,low,low,low,low,med-low,low,low,1,0.8269901690790795
152,high,med-high,low,low,low,low,low,med-low,low,med-low,low,low,0,0.67065818894589
160,high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.41628918449699215
170,high,med-high,low,low,low,low,low,low,low,med-low,low,low,1,0.43753144078144074
179,high,med-low,low,low,low,low,low,low,low,med-low,low,med-low,0,0.19827844475689282
188,med-high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.1649583463203155
196,med-high,med-low,med-low,med-low,low,low,low,low,low,med-low,low,low,1,0.7809716650197874
201,med-low,med-low,med-high,low,low,low,low,low,low,low,med-low,low,0,0.21704622578924798
216,high,med-low,low,med-low,low,low,low,low,low,med-low,low,low,1,0.7380956015269261
224,med-high,med-low,low,med-low,low,low,low,low,low,low,low,low,1,0.2072399080804677
239,med-high,med-low,low,med-low,low,low,low,low,low,low,low,low,1,0.1751224938058565
246,high,low,low,med-high,low,low,low,low,low,low,low,low,0,0.18374282023233035
255,med-high,med-low,low,med-high,low,low,low,low,low,low,low,low,0,0.36659318459318463
273,med-low,med-low,low,low,low,low,low,low,low,low,low,low,1,0.4406454882836462
296,med-high,med-low,med-low,low,low,low,low,low,low,low,low,low,0,0.04949673095507737
303,low,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.016474492439805304
310,med-low,med-low,low,low,low,med-low,low,low,low,low,low,low,0,0.11401011722797945
317,med-low,med-high,low,low,low,low,low,low,low,low,low,low,0,0.11076738231257124
325,med-low,med-high,low,low,low,low,low,low,low,low,low,low,0,0.02947324662409646
334,med-low,med-high,low,low,low,low,low,low,low,low,low,low,0,0.06974401702600287
349,med-low,med-low,low,low,low,med-low,low,low,low,low,med-low,low,0,0.0737107795510257
355,med-high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.5370382344263924
365,med-high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.025786392936864955
374,med-low,med-low,low,low,low,low,low,low,low,low,med-low,low,0,0.030978917811100005
384,med-high,med-low,low,low,low,low,low,low,low,low,low,low,0,0.8604045805179361
395,high,med-low,low,low,low,low,low,med-low,low,med-low,low,low,1,0.7377910459854177
402,med-high,low,low,med-high,low,low,low,med-low,low,low,low,low,0,0.20447679031852878
412,med-high,low,med-low,low,low,med-low,low,low,low,low,low,low,0,0.5747202866577867
420,med-high,med-low,low,low,low,med-high,low,low,low,low,low,low,0,0.2893523308347134
429,med-low,med-high,low,low,low,low,low,low,low,low,low,low,0,0.053388746174961595
436,high,med-high,low,low,low,med-low,low,low,low,med-low,low,low,1,0.6746916614732018
453,med-high,med-low,low,low,low,low,low,low,low,low,low,low,0,0.030055461085101008
462,med-high,low,low,low,low,med-high,low,low,low,low,low,low,0,0.030063964323669142
471,med-high,med-low,low,low,low,med-low,low,low,low,low,low,low,0,0.05637110383944392
476,med-high,med-low,low,med-low,low,low,low,low,low,low,low,low,0,0.020171866706860248
488,med-high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.011706400838626944
496,med-low,med-high,low,low,low,low,low,low,low,low,low,low,0,0.19287128101558204
512,med-high,med-low,low,low,low,med-low,low,low,low,low,low,low,0,0.2005440390337158
519,med-low,med-low,low,low,low,med-low,low,low,low,low,low,low,0,0.06325711860424577
528,med-high,low,low,med-low,low,low,low,low,low,low,low,low,1,0.06470843217112039
537,med-low,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.03536497568370244
550,med-high,med-low,low,low,low,med-low,low,low,low,low,low,low,0,0.06705405620229456
559,med-low,med-low,low,low,low,med-low,low,low,low,low,med-low,low,0,0.06149431275894504
566,med-high,low,low,low,low,med-high,low,med-low,low,low,low,low,0,0.29112633332015203
575,med-high,med-low,low,low,low,med-high,low,low,low,med-low,low,low,1,0.30455427634427135
583,med-high,med-low,low,low,low,med-low,low,low,low,low,low,low,0,0.28654761656060573
592,high,low,med-low,low,low,med-low,low,low,low,low,low,low,0,0.3691432301358772
608,med-high,low,low,med-low,low,low,low,low,low,low,low,low,0,0.3855735930735932
617,med-low,med-high,low,low,low,low,low,low,low,low,low,low,0,0.08807310767631009
632,high,med-high,low,low,low,low,low,low,low,low,low,low,1,0.6063229927219698
640,med-high,med-high,low,low,low,low,low,med-low,low,low,low,low,0,0.349672663070562
653,low,med-high,low,low,low,low,low,low,low,low,med-low,low,1,0.11770389040515643
677,med-high,med-low,med-low,low,low,low,low,low,low,low,low,low,1,0.39578430311518553
701,med-high,med-high,low,low,low,low,low,low,low,low,low,low,1,0.34580269077327896
711,high,low,low,low,low,low,low,med-high,low,low,low,low,0,0.3113662587412587
714,med-high,high,low,low,low,low,low,low,low,med-low,low,low,0,0.1405641244073574
724,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.010172891975678233
742,med-high,med-high,low,med-low,low,low,low,low,low,low,low,low,0,0.01595041815716667
750,med-high,med-low,low,med-low,low,low,low,low,low,low,low,low,0,0.4221223169719325
756,med-high,med-low,low,med-low,low,low,low,low,low,low,low,low,0,0.02667928146355297
762,med-high,med-low,low,med-low,low,low,low,low,low,low,low,low,1,0.04116250339275304
769,med-low,med-low,low,med-low,low,low,low,low,low,low,low,low,0,0.13744045272365712
778,med-high,med-high,low,med-low,low,low,low,low,low,low,med-low,low,0,0.01752701130017763
795,med-high,med-high,low,med-low,low,low,low,low,low,med-low,low,low,0,0.1543195284168289
801,med-high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.01266877899379111
809,high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.2685480907980908
815,high,low,med-low,low,low,low,low,low,low,low,low,low,0,0.1415178603805669
823,med-low,med-high,low,low,low,low,low,low,low,low,low,low,1,0.36356262773174547
832,high,med-low,med-low,low,med-low,med-low,low,low,low,low,low,low,0,0.4022119050896432
839,high,med-low,med-low,low,low,low,low,low,low,med-low,low,low,0,0.7220748626373628
849,high,med-low,low,low,low,med-low,low,low,low,med-low,low,low,0,0.274862050872103
855,med-low,med-high,low,low,low,low,low,low,low,low,low,low,1,0.4602018383577207
864,high,med-high,med-low,low,low,low,low,low,low,low,low,low,0,0.3008330522103368
872,high,med-low,low,low,low,low,low,low,low,med-low,low,low,1,0.3109614413364413
891,low,high,low,low,low,low,low,low,low,low,low,low,1,0.48834170098971413
897,med-high,med-high,low,low,low,low,low,low,low,low,low,low,1,0.09516977543818428
904,high,med-high,med-low,low,low,low,low,low,low,low,low,low,0,0.07587230595634555
914,med-high,med-high,low,low,low,low,low,low,low,med-low,low,low,0,0.5453124133131173
921,med-high,med-high,low,low,low,low,low,low,low,med-low,low,low,1,0.3798489836525649
930,med-high,med-low,med-low,low,low,low,low,low,low,low,low,low,0,0.24136173709348768
944,med-low,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.01033180098717435
951,med-low,high,low,low,low,low,low,low,low,low,low,med-low,0,0.016541807713178352
959,med-low,med-high,low,low,low,low,low,low,low,low,low,med-low,0,0.002207407453444434
978,high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.014283436111776928
