,feature,feature_importances
7,total_units_avg_5yr,0.08488048861014151
8,total_value_avg_5yr,0.0840830402498463
4,total_units_avg_3yr,0.07955423260088124
5,total_value_avg_3yr,0.07807805789738352
2,total_value,0.07685848761081554
3,total_bldg_avg_3yr,0.07518458705308181
6,total_bldg_avg_5yr,0.07417785858287368
11,total_value_pct_change_1yr,0.07301907713205344
1,total_units,0.07205834403767619
0,total_bldg,0.07072177971617441
14,total_value_pct_change_3yr,0.07028015091584622
17,total_value_pct_change_5yr,0.06865358913916729
20,urban,0.04519234843797831
19,div_enc,0.010983528849602133
18,div_sa,0.010381276411962855
13,total_units_pct_change_3yr,0.005986768074257123
16,total_units_pct_change_5yr,0.005321147180840194
15,total_bldg_pct_change_5yr,0.004482553787802801
12,total_bldg_pct_change_3yr,0.004418610964592591
10,total_units_pct_change_1yr,0.0038846651254908666
9,total_bldg_pct_change_1yr,0.001799407621531974
