,feature,feature_importances
31,renter_occupied_households_avg_5yr,0.11675402931465831
11,renter_occupied_households,0.09986892735892251
2,pct_renter_occupied,0.07341130954852773
24,pct_af_am_avg_5yr,0.07086178415281466
4,pct_af_am,0.05492632426096673
32,pct_renter_occupied_avg_5yr,0.05474921123649056
3,pct_white,0.03631314470258873
23,pct_white_avg_5yr,0.024519509559000164
15,median_household_income,0.020173302646279083
20,median_household_income_avg_5yr,0.018734358235665768
17,population_avg_5yr,0.018043025706774612
0,population,0.017041261171577466
1,poverty_rate,0.016662254311839934
16,median_property_value,0.01604287581367246
18,poverty_rate_avg_5yr,0.01567165469438324
21,median_property_value_avg_5yr,0.015611657292266283
29,pct_multiple_avg_5yr,0.01267879339760179
25,pct_hispanic_avg_5yr,0.010817370004621251
39,pct_white_pct_change_5yr,0.010367672228361175
47,renter_occupied_households_pct_change_5yr,0.009956502319497742
14,median_gross_rent,0.009428824346007754
19,median_gross_rent_avg_5yr,0.009395541376823987
5,pct_hispanic,0.009319444328494238
57,total_value_avg_5yr,0.009045669551982199
22,rent_burden_avg_5yr,0.008997026651297457
40,pct_af_am_pct_change_5yr,0.008939011086424037
55,total_bldg_avg_5yr,0.008705957895683326
12,avg_hh_size,0.008676817932440385
30,pct_other_avg_5yr,0.00841841677113257
37,median_property_value_pct_change_5yr,0.008385233869681548
13,rent_burden,0.008361273751043704
63,total_value_pct_change_3yr,0.008293020899686344
66,total_value_pct_change_5yr,0.00828301321191789
56,total_units_avg_5yr,0.008260007235912272
51,total_value,0.008176768021682624
52,total_bldg_avg_3yr,0.008129915104745635
50,total_units,0.008087796527082998
48,pct_renter_occupied_pct_change_5yr,0.008012175295864347
49,total_bldg,0.007993268798696836
34,poverty_rate_pct_change_5yr,0.007929881275616817
54,total_value_avg_3yr,0.00772902653270791
53,total_units_avg_3yr,0.007716477863749196
9,pct_multiple,0.007625025730800266
27,pct_asian_avg_5yr,0.007606533326413584
36,median_household_income_pct_change_5yr,0.007304152948716809
60,total_value_pct_change_1yr,0.007259767901653093
33,population_pct_change_5yr,0.007124456017315509
35,median_gross_rent_pct_change_5yr,0.006841026212231
38,rent_burden_pct_change_5yr,0.006699933880773711
26,pct_am_ind_avg_5yr,0.006528634166609866
41,pct_hispanic_pct_change_5yr,0.005605545590490234
7,pct_asian,0.0055646951824051116
45,pct_multiple_pct_change_5yr,0.004430439631121123
43,pct_asian_pct_change_5yr,0.0037793920512733887
42,pct_am_ind_pct_change_5yr,0.002976527545445935
28,pct_nh_pi_avg_5yr,0.002917499294801198
6,pct_am_ind,0.0027598592353562227
69,urban,0.002386059154735836
46,pct_other_pct_change_5yr,0.0022826750703947725
10,pct_other,0.0022752182905252574
68,div_enc,0.0013852376886668832
44,pct_nh_pi_pct_change_5yr,0.0013739791597519797
67,div_sa,0.001298266474162397
8,pct_nh_pi,0.001028325455032352
65,total_units_pct_change_5yr,0.0007959522196548019
62,total_units_pct_change_3yr,0.0007848316443649966
59,total_units_pct_change_1yr,0.0006690637819218765
61,total_bldg_pct_change_3yr,0.000489956267585098
64,total_bldg_pct_change_5yr,0.0004451915524724754
58,total_bldg_pct_change_1yr,0.00027221824013998804
