,training_dates,testing_dates,model_key,classifier,parameters,feature_sets,outcome,model_result,auc-roc,p_at_1,p_at_2,p_at_5,p_at_10,p_at_20,p_at_30,p_at_50,r_at_1,r_at_2,r_at_5,r_at_10,r_at_20,r_at_30,r_at_50,f1_at_1,f1_at_2,f1_at_5,f1_at_10,f1_at_20,f1_at_30,f1_at_50
0,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2015, 12, 31, 0, 0))","(datetime.datetime(2016, 1, 1, 0, 0), datetime.datetime(2016, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",['demographic'],e_num_inc_20pct,RF: feature_importances: results/csv/RF0.csv,0.5627333566624395,0.36666666666666664,0.3931818181818182,0.38333333333333336,0.39175882442054233,0.3960463531015678,0.39461724904059786,0.3887845370819195,0.010458985219120063,0.022430633589765752,0.05467196819085487,0.11176419742415075,0.22599187483792896,0.3377560722620797,0.5546287492436685,0.020337843516261868,0.04244010139831547,0.09569558968151903,0.17391304347826086,0.2877741394017776,0.36397932094452984,0.4571296263313504
1,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2015, 12, 31, 0, 0))","(datetime.datetime(2016, 1, 1, 0, 0), datetime.datetime(2016, 12, 31, 0, 0))",BASELINE_DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=3,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 3}",['demographic'],e_num_inc_20pct,DT: tree_viz: results/images/tree_viz1.png,0.5515684822996307,0.1393939393939394,0.0696969696969697,0.027878787878787878,0.28753219209210723,0.14375520714989018,0.2571197737830741,0.554198982064954,0.003976143141153081,0.003976143141153081,0.003976143141153081,0.08202956175987552,0.08202956175987552,0.22007087907338577,0.7906042008816665,0.007731742163206992,0.007523100825905634,0.006959679249565019,0.1276438346951814,0.10445502325197434,0.2371570956173443,0.6516225554803549
2,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2015, 12, 31, 0, 0))","(datetime.datetime(2016, 1, 1, 0, 0), datetime.datetime(2016, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",['economic'],e_num_inc_20pct,RF: feature_importances: results/csv/RF2.csv,0.545886144266793,0.3287878787878788,0.24772727272727274,0.36818181818181817,0.3138918345705196,0.38074679996970384,0.3984548576045243,0.38742123121667477,0.009378511539458899,0.014132595729968018,0.05251102083153254,0.08954965857031723,0.21726164750626675,0.3410407122482496,0.5526838966202783,0.018236826624086058,0.026739717065990678,0.09191315530675542,0.1393456404048556,0.2766572191189015,0.36751897908807224,0.455526662629573
3,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2015, 12, 31, 0, 0))","(datetime.datetime(2016, 1, 1, 0, 0), datetime.datetime(2016, 12, 31, 0, 0))",BASELINE_DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=3,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 3}",['economic'],e_num_inc_20pct,DT: tree_viz: results/images/tree_viz3.png,0.4984899524827845,0.3287878787878788,0.24772727272727274,0.09909090909090909,0.32585971822451143,0.64659547072635,0.514492021813775,0.7009815802229763,0.009378511539458899,0.014132595729968018,0.014132595729968018,0.0929639553980465,0.3689601521306941,0.4403578528827038,1.0,0.018236826624086058,0.026739717065990678,0.02473712081095393,0.14465852920407546,0.46982746759858013,0.4745470634809743,0.8242083140383999
4,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2015, 12, 31, 0, 0))","(datetime.datetime(2016, 1, 1, 0, 0), datetime.datetime(2016, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",['eviction'],e_num_inc_20pct,RF: feature_importances: results/csv/RF4.csv,0.7250397441349626,0.7651515151515151,0.746969696969697,0.7103030303030303,0.672322375397667,0.6155419222903885,0.5703393253888104,0.5003938439166262,0.0218255683291555,0.04261388192583629,0.10130521220503068,0.19180568761344974,0.35124038378425104,0.4881580084709137,0.7138473506785374,0.04244054122195143,0.08062801537329299,0.17732052348891747,0.29846329735364335,0.44726342147987125,0.5260584043593685,0.5883589213835357
5,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2015, 12, 31, 0, 0))","(datetime.datetime(2016, 1, 1, 0, 0), datetime.datetime(2016, 12, 31, 0, 0))",BASELINE_DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=3,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 3}",['eviction'],e_num_inc_20pct,DT: tree_viz: results/images/tree_viz5.png,0.6808709270809092,0.0015151515151515152,0.09318181818181819,0.3015151515151515,0.42584456900469625,0.4713322729682648,0.4858109472833771,0.5132089190499273,4.321894718644654e-05,0.005315930503932924,0.04300285245051431,0.12148846054110121,0.2689515083412568,0.41580949088080216,0.7321289653384043,8.404067568703253e-05,0.010058058712895576,0.0752704440577956,0.18904468879249473,0.3424781926749402,0.4480927763029202,0.6034267801802443
6,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2015, 12, 31, 0, 0))","(datetime.datetime(2016, 1, 1, 0, 0), datetime.datetime(2016, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",['tract'],e_num_inc_20pct,RF: feature_importances: results/csv/RF6.csv,0.6158197253186035,0.49393939393939396,0.4825757575757576,0.4796969696969697,0.483714588698682,0.47171097477845947,0.45541304786911735,0.42753271934076587,0.014089376782781571,0.027530469357766443,0.06841559339614486,0.1379980983663238,0.26916760307718907,0.3897916846745613,0.6099057826951335,0.0273972602739726,0.052089295935890095,0.11975187230501551,0.21473485994821614,0.34275336396907075,0.4200549578501234,0.5026894168774267
7,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2015, 12, 31, 0, 0))","(datetime.datetime(2016, 1, 1, 0, 0), datetime.datetime(2016, 12, 31, 0, 0))",BASELINE_DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=3,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 3}",['tract'],e_num_inc_20pct,DT: tree_viz: results/images/tree_viz7.png,0.5833676335890925,0.0015151515151515152,0.0007575757575757576,0.00030303030303030303,0.05938494167550371,0.41990456714383095,0.40794788931528986,0.4945164808531265,4.321894718644654e-05,4.321894718644654e-05,4.321894718644654e-05,0.016941827297087042,0.23960584320165962,0.3491658743193016,0.7054628749243669,8.404067568703253e-05,8.177283506419168e-05,7.564868749527195e-05,0.026362688725242948,0.3051099309320052,0.3762749755484141,0.581448366758095
8,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2015, 12, 31, 0, 0))","(datetime.datetime(2016, 1, 1, 0, 0), datetime.datetime(2016, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}","['demographic', 'economic']",e_num_inc_20pct,RF: feature_importances: results/csv/RF8.csv,0.5726899616865918,0.3939393939393939,0.38181818181818183,0.39090909090909093,0.3973640357521588,0.40922517609634174,0.4035043425570592,0.39675230247212795,0.0112369262684761,0.021782349381969057,0.055752441870516034,0.11336329847004926,0.23351197164837065,0.3453626069668943,0.5659953323537039,0.021850575678628456,0.04121350887235261,0.09758680686890082,0.17640135848549043,0.29735010043752236,0.37217642401378603,0.46649805863285004
9,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2015, 12, 31, 0, 0))","(datetime.datetime(2016, 1, 1, 0, 0), datetime.datetime(2016, 12, 31, 0, 0))",BASELINE_DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=3,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 3}","['demographic', 'economic']",e_num_inc_20pct,DT: tree_viz: results/images/tree_viz9.png,0.5364053387468988,0.30757575757575756,0.22954545454545455,0.39636363636363636,0.4052416300560521,0.44505036734075587,0.4112300545344375,0.646661415414445,0.008773446278848648,0.0130953409974933,0.05653038291987207,0.11561068372374449,0.2539545336675599,0.3519751058864206,0.9225084276947013,0.017060257164467605,0.02477716902445008,0.09894848324381572,0.17989844984700226,0.32338130486227684,0.37930231475012816,0.760339115876465
