,training_dates,testing_dates,model_key,classifier,parameters,feature_sets,outcome,model_result,auc-roc,p_at_1,p_at_2,p_at_5,p_at_10,p_at_20,p_at_30,p_at_50,r_at_1,r_at_2,r_at_5,r_at_10,r_at_20,r_at_30,r_at_50,f1_at_1,f1_at_2,f1_at_5,f1_at_10,f1_at_20,f1_at_30,f1_at_50
0,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=5,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=5, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 5, 'subsample': 0.5}",['demographic'],top20_num,,0.8866394449044859,0.7580645161290323,0.7741935483870968,0.7756410256410257,0.7548076923076923,0.6410256410256411,0.5299145299145299,0.37007369432874077,0.037933817594834544,0.0774818401937046,0.19531880548829703,0.3801452784503632,0.645682001614205,0.8006456820016142,0.9322033898305084,0.0722521137586472,0.1408657373440939,0.3120567375886525,0.5056360708534622,0.6433453960595095,0.6377370620379299,0.5298165137614679
1,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=5,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=5, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 5, 'subsample': 0.5}",['economic'],top20_num,,0.6776820913101856,0.46774193548387094,0.3548387096774194,0.3942307692307692,0.3333333333333333,0.3157051282051282,0.32211538461538464,0.28035885933995514,0.023405972558514933,0.03551251008878128,0.09927360774818401,0.1678773204196933,0.31799838579499595,0.48668280871670705,0.7062146892655368,0.044581091468101464,0.06456346294937639,0.1586073500967118,0.22329575952764358,0.3168476075593084,0.38765670202507235,0.40137614678899086
2,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=5,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=5, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 5, 'subsample': 0.5}",['eviction'],top20_num,,0.9436634226082592,0.5967741935483871,0.7903225806451613,0.8878205128205128,0.8782051282051282,0.7443910256410257,0.6025641025641025,0.39346363345081703,0.02986279257465698,0.07909604519774012,0.22356739305891848,0.44229217110573044,0.7497982243744956,0.910411622276029,0.9911218724778047,0.0568793235972329,0.1438004402054292,0.3571889103803998,0.5882984433709072,0.7470848411741055,0.7251687560270009,0.5633027522935781
3,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=5,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=5, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 5, 'subsample': 0.5}",['tract'],top20_num,,0.8887731122424205,0.6129032258064516,0.6693548387096774,0.7403846153846154,0.7019230769230769,0.6153846153846154,0.5288461538461539,0.3793655879525793,0.03066989507667474,0.06698950766747377,0.1864406779661017,0.35351089588377727,0.6198547215496368,0.7990314769975787,0.9556093623890234,0.05841660261337433,0.12179016874541454,0.29787234042553196,0.47020933977455726,0.6176115802171291,0.6364513018322083,0.5431192660550459
4,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=5,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=5, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 5, 'subsample': 0.5}","['demographic', 'economic']",top20_num,,0.8773973711011488,0.6290322580645161,0.6854838709677419,0.7243589743589743,0.7131410256410257,0.6177884615384616,0.5160256410256411,0.37007369432874077,0.031476997578692496,0.06860371267150928,0.1824051654560129,0.3591606133979015,0.6222760290556901,0.7796610169491526,0.9322033898305084,0.059953881629515766,0.12472487160674982,0.291424887169568,0.4777241009125067,0.6200241254523522,0.6210221793635488,0.5298165137614679
5,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=5,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=5, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 5, 'subsample': 0.5}","['demographic', 'eviction']",top20_num,,0.9449122294177973,0.7903225806451613,0.8548387096774194,0.9198717948717948,0.9150641025641025,0.7459935897435898,0.5977564102564102,0.39602691445049665,0.03954802259887006,0.08555286521388217,0.23163841807909605,0.4608555286521388,0.751412429378531,0.9031476997578692,0.9975786924939467,0.07532667179093007,0.15553925165077037,0.3700838168923275,0.6129898013955984,0.748693204664254,0.7193828351012537,0.5669724770642202
6,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=5,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=5, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 5, 'subsample': 0.5}","['demographic', 'tract']",top20_num,,0.9295432425774561,0.7903225806451613,0.8467741935483871,0.8974358974358975,0.8573717948717948,0.719551282051282,0.5753205128205128,0.3844921499519385,0.03954802259887006,0.0847457627118644,0.22598870056497175,0.4317998385794996,0.7247780468119451,0.8692493946731235,0.9685230024213075,0.07532667179093007,0.1540719002201027,0.3610573823339781,0.5743424584004294,0.7221552070767994,0.6923818707810994,0.5504587155963303
7,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=5,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=5, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 5, 'subsample': 0.5}","['economic', 'eviction']",top20_num,,0.9434539437757847,0.6129032258064516,0.7096774193548387,0.842948717948718,0.8637820512820513,0.750801282051282,0.6047008547008547,0.3944248638256969,0.03066989507667474,0.07102502017756256,0.2122679580306699,0.4350282485875706,0.7562550443906376,0.9136400322841001,0.993543179983858,0.05841660261337433,0.12912692589875277,0.3391360412637009,0.5786366076221149,0.7535182951347005,0.7277402764384443,0.5646788990825687
8,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=5,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=5, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 5, 'subsample': 0.5}","['economic', 'tract']",top20_num,,0.9006040282206786,0.7903225806451613,0.8306451612903226,0.8012820512820513,0.7355769230769231,0.6306089743589743,0.5363247863247863,0.3819288689522589,0.03954802259887006,0.08313155770782889,0.20177562550443906,0.3704600484261501,0.6351896690879741,0.8103309120258273,0.9620661824051655,0.07532667179093007,0.15113719735876743,0.3223726627981947,0.4927536231884058,0.6328910333735425,0.6454516232722598,0.5467889908256881
9,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=5,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=5, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 5, 'subsample': 0.5}","['eviction', 'tract']",top20_num,,0.9329362834276835,0.7258064516129032,0.8225806451612904,0.907051282051282,0.9118589743589743,0.7419871794871795,0.5966880341880342,0.3905799423261775,0.03631961259079903,0.08232445520581114,0.22841000807102502,0.45924132364810333,0.7473769168684423,0.9015334947538337,0.9838579499596449,0.06917755572636433,0.1496698459280998,0.36492585428755636,0.6108427267847558,0.7446722959388822,0.718097074895532,0.5591743119266054
