,training_dates,testing_dates,model_key,classifier,parameters,feature_sets,outcome,model_result,auc-roc,p_at_1,p_at_2,p_at_5,p_at_10,p_at_20,p_at_30,p_at_50,r_at_1,r_at_2,r_at_5,r_at_10,r_at_20,r_at_30,r_at_50,f1_at_1,f1_at_2,f1_at_5,f1_at_10,f1_at_20,f1_at_30,f1_at_50
0,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2015, 12, 31, 0, 0))","(datetime.datetime(2016, 1, 1, 0, 0), datetime.datetime(2016, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 10}",['demographic'],top20_num,RF: feature_importances: results/RF0.csv,0.8854113584749617,0.9238805970149254,0.8881431767337807,0.8279666070363745,0.7546579221940677,0.6311945748565467,0.5251887917329093,0.37398277044147016,0.04612862359341233,0.08875475072658172,0.20694537595946047,0.3773008420895745,0.6311945748565467,0.7877636187495343,0.9349429912810194,0.08786996947973597,0.16138211382113823,0.33112740714243133,0.5030802861685215,0.6311945748565467,0.6302202879542134,0.5342588255333646
1,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2015, 12, 31, 0, 0))","(datetime.datetime(2016, 1, 1, 0, 0), datetime.datetime(2016, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 10}",['demographic'],top20_num,RF: feature_importances: results/RF1.csv,0.8997770762877574,0.9432835820895522,0.9149888143176734,0.8714967203339297,0.7871515874198838,0.6541471048513302,0.5387023052464229,0.37952723045279757,0.04709739921007527,0.09143751397272525,0.2178254713465981,0.39354646396899917,0.6541471048513302,0.8080333854981743,0.9488039347194277,0.08971538079352687,0.16626016260162602,0.3485363381625231,0.5247416534181241,0.6541471048513302,0.6464363430411065,0.5421794489630798
2,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2015, 12, 31, 0, 0))","(datetime.datetime(2016, 1, 1, 0, 0), datetime.datetime(2016, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=5,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=5, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 5, 'subsample': 0.5}",['demographic'],top20_num,RF: feature_importances: results/GB2.csv,0.8951482824462487,0.9298507462686567,0.901565995525727,0.8470483005366727,0.7700104337457148,0.6416275430359938,0.5334360095389508,0.37776850389006467,0.046426708398539386,0.09009613234965348,0.2117147328414934,0.38497652582159625,0.6416275430359938,0.8001341381623072,0.9444071838438035,0.08843778834551778,0.16382113821138214,0.3387587193704167,0.513314785373609,0.6416275430359938,0.640116850985185,0.5396669931439765
3,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2015, 12, 31, 0, 0))","(datetime.datetime(2016, 1, 1, 0, 0), datetime.datetime(2016, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 10}",['demographic'],e_num_inc_20pct,RF: feature_importances: results/RF3.csv,0.5620356238628114,0.36363636363636365,0.36515151515151517,0.2727272727272727,0.26556582336009693,0.39710671817011284,0.3946677438901232,0.3871788657295201,0.01037254732474717,0.020831532543867232,0.03889705246780188,0.07576281441784079,0.2265969400985392,0.33779929120926616,0.5523381450427868,0.020169762164887806,0.03941450650094039,0.06808381874574476,0.11789232993711961,0.2885446190253433,0.36402589539378694,0.45524169130481246
4,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2015, 12, 31, 0, 0))","(datetime.datetime(2016, 1, 1, 0, 0), datetime.datetime(2016, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 10}",['demographic'],e_num_inc_20pct,RF: feature_importances: results/RF4.csv,0.5585417744578469,0.346969696969697,0.35909090909090907,0.37727272727272726,0.383881230116649,0.38847231689767475,0.3930014138557867,0.3873606398448861,0.009897138905696257,0.02048578096637566,0.05380758924712594,0.10951681217045553,0.2216699801192843,0.3363730659521134,0.5525974587259055,0.01924531473233045,0.03876032382042685,0.09418261593161359,0.17041595211674906,0.2822707135191657,0.3624889385683015,0.45545541979838283
5,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2015, 12, 31, 0, 0))","(datetime.datetime(2016, 1, 1, 0, 0), datetime.datetime(2016, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=5,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=5, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 5, 'subsample': 0.5}",['demographic'],e_num_inc_20pct,RF: feature_importances: results/GB5.csv,0.5614379796455955,0.3378787878787879,0.3371212121212121,0.37272727272727274,0.37312528404787154,0.39013860486253127,0.3955261563320541,0.38708797867183714,0.009637825222577579,0.01923243149796871,0.053159305039329245,0.10644826692021782,0.22262079695738612,0.33853401331143573,0.5522084882012274,0.018741070678208255,0.03638891160356529,0.0930478856191845,0.16564107737314637,0.28348146721334033,0.36481766103115826,0.45513482705802727
6,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2015, 12, 31, 0, 0))","(datetime.datetime(2016, 1, 1, 0, 0), datetime.datetime(2016, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 10}",['economic'],top20_num,RF: feature_importances: results/RF6.csv,0.6565413337682319,0.4835820895522388,0.4354958985831469,0.29039952295766247,0.2939335221344463,0.22266934942991282,0.28755961844197137,0.274122872387993,0.02414486921529175,0.04352038154855056,0.07258365004843878,0.1469558089276399,0.22266934942991282,0.43132871301885384,0.6852969669871078,0.04599332812832706,0.07913279132791327,0.1161390329696536,0.19594594594594597,0.22266934942991282,0.3450681133931499,0.39160243580462467
7,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2015, 12, 31, 0, 0))","(datetime.datetime(2016, 1, 1, 0, 0), datetime.datetime(2016, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 10}",['economic'],top20_num,RF: feature_importances: results/RF7.csv,0.6733173819144258,0.5029850746268657,0.36539895600298283,0.2695289206917114,0.27887911760321954,0.31917430508979805,0.32437400635930047,0.28601663338003397,0.02511364483195469,0.036515388628064686,0.06736716595871525,0.1394291675981817,0.31917430508979805,0.48654892316864146,0.7150309262985319,0.047838739442117965,0.06639566395663957,0.1077922852202945,0.1859101748807631,0.31917430508979805,0.3892449399350165,0.4085934505812715
8,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2015, 12, 31, 0, 0))","(datetime.datetime(2016, 1, 1, 0, 0), datetime.datetime(2016, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=5,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=5, presort='auto',
              random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 5, 'subsample': 0.5}",['economic'],top20_num,RF: feature_importances: results/GB8.csv,0.6596803144591439,0.4507462686567164,0.5249813571961223,0.39892665474060823,0.3153972276047101,0.30844325210522394,0.30951907790143085,0.2798759948728649,0.022505402787092926,0.05246292570236232,0.09970936731500112,0.15768686191221404,0.30844325210522394,0.46426708398539385,0.6996795588344884,0.04287032436652708,0.0953929539295393,0.15954212126632086,0.21025437201907793,0.30844325210522394,0.37141920290935104,0.3998211472128774
9,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2015, 12, 31, 0, 0))","(datetime.datetime(2016, 1, 1, 0, 0), datetime.datetime(2016, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 10}",['economic'],e_num_inc_20pct,RF: feature_importances: results/RF9.csv,0.5377417514878403,0.3287878787878788,0.3477272727272727,0.40454545454545454,0.3840327223148008,0.39566765129137316,0.3904766713795193,0.37206131846825014,0.009378511539458899,0.01983749675857896,0.05769729449390613,0.10956003111764197,0.22577578010199673,0.3342121185927911,0.53077189039675,0.018236826624086058,0.037533731294463975,0.10099099780618806,0.17048320387370122,0.287498968107647,0.3601602161054446,0.43746660492287964
