,training_dates,testing_dates,model_key,classifier,parameters,feature_sets,outcome,model_result,auc-roc,p_at_1,p_at_2,p_at_5,p_at_10,p_at_20,p_at_30,p_at_50,r_at_1,r_at_2,r_at_5,r_at_10,r_at_20,r_at_30,r_at_50,f1_at_1,f1_at_2,f1_at_5,f1_at_10,f1_at_20,f1_at_30,f1_at_50
0,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 5}",['demographic'],top20_num,RF: feature_importances: results/RF0.csv,0.8702962580854137,0.9365079365079365,0.873015873015873,0.7904761904761904,0.6909667194928685,0.6014263074484945,0.5108293713681986,0.37864385297845377,0.04580745341614907,0.08540372670807453,0.19332298136645962,0.3385093167701863,0.5892857142857143,0.7507763975155279,0.9277950310559007,0.08734270910436713,0.1555869872701556,0.3106674984404242,0.45440333507034913,0.595294117647059,0.6079849104055328,0.5378037803780379
1,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 10}",['demographic'],top20_num,RF: feature_importances: results/RF1.csv,0.8767407129010563,0.8888888888888888,0.8492063492063492,0.8095238095238095,0.7305863708399366,0.6061806656101426,0.508716323296355,0.3830798479087453,0.043478260869565216,0.08307453416149069,0.19798136645962733,0.3579192546583851,0.593944099378882,0.7476708074534162,0.9386645962732919,0.08290155440414508,0.15134370579915135,0.3181534622582658,0.48045857217300686,0.6,0.6054699779943414,0.5441044104410442
2,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 5}",['demographic'],top20_num,RF: feature_importances: results/RF2.csv,0.8963291418582109,0.8888888888888888,0.9047619047619048,0.8539682539682539,0.8050713153724247,0.6759112519809826,0.5499207606973059,0.385297845373891,0.043478260869565216,0.08850931677018634,0.20885093167701863,0.3944099378881988,0.6622670807453416,0.8082298136645962,0.9440993788819876,0.08290155440414508,0.16124469589816126,0.33562071116656267,0.5294424179260031,0.6690196078431372,0.6545111600125746,0.5472547254725473
3,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 10}",['demographic'],top20_num,RF: feature_importances: results/RF3.csv,0.9130652680796771,0.9047619047619048,0.9285714285714286,0.8761904761904762,0.8177496038034865,0.6996830427892234,0.5747490755414686,0.3884664131812421,0.04425465838509317,0.09083850931677019,0.21428571428571427,0.40062111801242234,0.6855590062111802,0.84472049689441,0.9518633540372671,0.08438193930421911,0.16548797736916548,0.34435433562071116,0.5377800937988535,0.6925490196078432,0.6840616158440742,0.5517551755175517
4,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 5}",['demographic'],top20_num,RF: feature_importances: results/RF4.csv,0.8823988025180995,1.0,0.6984126984126984,0.8444444444444444,0.7432646592709984,0.6759112519809826,0.5388272583201268,0.40811153358681873,0.04891304347826087,0.06832298136645963,0.20652173913043478,0.3641304347826087,0.6622670807453416,0.7919254658385093,1.0,0.09326424870466321,0.12446958981612448,0.331877729257642,0.48879624804585725,0.6690196078431372,0.6413077648538196,0.5796579657965797
5,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 10}",['demographic'],top20_num,RF: feature_importances: results/RF5.csv,0.9082394413646795,0.7619047619047619,0.873015873015873,0.8476190476190476,0.8446909667194928,0.7337559429477021,0.5647120972002113,0.3856147021546261,0.037267080745341616,0.08540372670807453,0.20729813664596272,0.4138198757763975,0.718944099378882,0.8299689440993789,0.9448757763975155,0.07105847520355292,0.1555869872701556,0.33312538989394885,0.5554976550286607,0.7262745098039217,0.6721156868909148,0.5477047704770478
6,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 5}",['economic'],top20_num,RF: feature_importances: results/RF6.csv,0.6625865102167978,0.6190476190476191,0.30952380952380953,0.33650793650793653,0.25356576862123614,0.2115689381933439,0.3090332805071315,0.2965779467680608,0.030279503105590064,0.030279503105590064,0.08229813664596274,0.12422360248447205,0.20729813664596272,0.45419254658385094,0.7267080745341615,0.057735011102886764,0.055162659123055166,0.132252027448534,0.16675351745700884,0.20941176470588235,0.3678088651367495,0.42124212421242124
7,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 10}",['economic'],top20_num,RF: feature_importances: results/RF7.csv,0.6796241395339636,0.4126984126984127,0.23015873015873015,0.36507936507936506,0.32805071315372425,0.3082408874801902,0.26782884310618066,0.29372623574144485,0.020186335403726708,0.02251552795031056,0.08928571428571429,0.16071428571428573,0.30201863354037267,0.3936335403726708,0.71972049689441,0.0384900074019245,0.04101838755304102,0.14348097317529632,0.21573736321000525,0.3050980392156863,0.31876768311851617,0.4171917191719173
8,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 5}",['economic'],top20_num,RF: feature_importances: results/RF8.csv,0.6625382944475215,0.4603174603174603,0.23015873015873015,0.28253968253968254,0.29160063391442154,0.2908082408874802,0.2900158478605388,0.2997465145754119,0.02251552795031056,0.02251552795031056,0.06909937888198758,0.14285714285714285,0.28493788819875776,0.42624223602484473,0.734472049689441,0.04293116210214656,0.04101838755304102,0.1110417966313163,0.19176654507556018,0.2878431372549019,0.34517447343602636,0.42574257425742573
9,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2006, 12, 31, 0, 0))","(datetime.datetime(2007, 1, 1, 0, 0), datetime.datetime(2007, 12, 31, 0, 0))",RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 10}",['economic'],top20_num,RF: feature_importances: results/RF9.csv,0.7054463111227598,0.6507936507936508,0.5158730158730159,0.37777777777777777,0.3328050713153724,0.3573692551505547,0.3248811410459588,0.31368821292775667,0.03183229813664596,0.05046583850931677,0.09239130434782608,0.16304347826086957,0.3501552795031056,0.47748447204968947,0.7686335403726708,0.060695780903034784,0.09193776520509193,0.14847161572052403,0.21886399166232412,0.35372549019607846,0.38667085822068537,0.44554455445544555
