,training_dates,testing_dates,model_key,classifier,parameters,feature_sets,outcome,model_result,auc-roc,p_at_1,p_at_2,p_at_5,p_at_10,p_at_20,p_at_30,p_at_50,r_at_1,r_at_2,r_at_5,r_at_10,r_at_20,r_at_30,r_at_50,f1_at_1,f1_at_2,f1_at_5,f1_at_10,f1_at_20,f1_at_30,f1_at_50
0,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2012, 12, 31, 0, 0))","(datetime.datetime(2013, 1, 1, 0, 0), datetime.datetime(2013, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=10,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=10,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 5, 'subsample': 0.1}",['demographic'],top20_num,,0.8655752698006219,0.7058823529411765,0.7867647058823529,0.7382352941176471,0.7165932452276065,0.6045487894350697,0.502200488997555,0.3659037558685446,0.035555555555555556,0.07925925925925927,0.18592592592592594,0.36148148148148146,0.6103703703703703,0.7607407407407407,0.9237037037037037,0.06770098730606489,0.1440107671601615,0.2970414201183432,0.48055145248645986,0.6074456321415407,0.6050073637702503,0.5241698192517864
1,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2012, 12, 31, 0, 0))","(datetime.datetime(2013, 1, 1, 0, 0), datetime.datetime(2013, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=10,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=10,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 5, 'subsample': 0.5}",['demographic'],top20_num,,0.9079693650116185,0.8088235294117647,0.8455882352941176,0.85,0.7944199706314243,0.6713132795304475,0.5506112469437653,0.37822769953051644,0.040740740740740744,0.08518518518518518,0.21407407407407408,0.40074074074074073,0.6777777777777778,0.8340740740740741,0.9548148148148148,0.07757404795486603,0.15477792732166892,0.3420118343195266,0.5327424913835548,0.6745300405455216,0.6633284241531664,0.5418242959226566
2,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2012, 12, 31, 0, 0))","(datetime.datetime(2013, 1, 1, 0, 0), datetime.datetime(2013, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=10,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=10,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 10, 'subsample': 0.1}",['demographic'],top20_num,,0.8866245960612158,0.8235294117647058,0.8382352941176471,0.8117647058823529,0.7430249632892805,0.6250917094644167,0.5232273838630807,0.3711854460093897,0.04148148148148148,0.08444444444444445,0.20444444444444446,0.3748148148148148,0.6311111111111111,0.7925925925925926,0.937037037037037,0.07898448519040903,0.15343203230148048,0.32662721893491126,0.49827671097981285,0.6280869885735348,0.6303387334315169,0.5317360235393023
3,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2012, 12, 31, 0, 0))","(datetime.datetime(2013, 1, 1, 0, 0), datetime.datetime(2013, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=10,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=10,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 10, 'subsample': 0.5}",['demographic'],top20_num,,0.9210368608960159,0.9117647058823529,0.9044117647058824,0.8823529411764706,0.8267254038179148,0.6962582538517975,0.5643031784841076,0.3796948356807512,0.045925925925925926,0.09111111111111111,0.2222222222222222,0.41703703703703704,0.702962962962963,0.8548148148148148,0.9585185185185185,0.08744710860366713,0.1655450874831763,0.3550295857988165,0.5544066962087641,0.6995945447843716,0.6798232695139912,0.5439260193358554
4,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2012, 12, 31, 0, 0))","(datetime.datetime(2013, 1, 1, 0, 0), datetime.datetime(2013, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=10,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=10,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 10, 'n_estimators': 5, 'subsample': 0.1}",['demographic'],top20_num,,0.7804747000521648,0.5588235294117647,0.5588235294117647,0.5588235294117647,0.5903083700440529,0.5480557593543653,0.47334963325183377,0.3289319248826291,0.028148148148148148,0.056296296296296296,0.14074074074074075,0.29777777777777775,0.5533333333333333,0.717037037037037,0.8303703703703704,0.05359661495063469,0.10228802153432032,0.22485207100591717,0.3958641063515509,0.5506819019535569,0.5702503681885126,0.4712063892391761
5,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2012, 12, 31, 0, 0))","(datetime.datetime(2013, 1, 1, 0, 0), datetime.datetime(2013, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=10,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=10,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 10, 'n_estimators': 5, 'subsample': 0.5}",['demographic'],top20_num,,0.8949333712713994,0.6764705882352942,0.7720588235294118,0.7970588235294118,0.7665198237885462,0.6515040352164343,0.5339853300733496,0.3732394366197183,0.034074074074074076,0.07777777777777778,0.20074074074074075,0.38666666666666666,0.6577777777777778,0.8088888888888889,0.9422222222222222,0.06488011283497885,0.14131897711978464,0.3207100591715976,0.5140324963072377,0.6546258754146701,0.643298969072165,0.5346784363177806
6,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2012, 12, 31, 0, 0))","(datetime.datetime(2013, 1, 1, 0, 0), datetime.datetime(2013, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=10,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=10,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 10, 'n_estimators': 10, 'subsample': 0.1}",['demographic'],top20_num,,0.7646226856086011,0.029411764705882353,0.45588235294117646,0.4676470588235294,0.5653450807635829,0.5385179750550256,0.46112469437652814,0.3283450704225352,0.0014814814814814814,0.045925925925925926,0.11777777777777777,0.2851851851851852,0.5437037037037037,0.6985185185185185,0.8288888888888889,0.0028208744710860366,0.08344549125168237,0.1881656804733728,0.379123584441162,0.5410984150387025,0.5555228276877762,0.4703656998738966
7,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2012, 12, 31, 0, 0))","(datetime.datetime(2013, 1, 1, 0, 0), datetime.datetime(2013, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=10,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=10,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.5, 'max_depth': 10, 'n_estimators': 10, 'subsample': 0.5}",['demographic'],top20_num,,0.8959045857637407,0.5294117647058824,0.6470588235294118,0.7382352941176471,0.7459618208516887,0.6573734409391049,0.5403422982885085,0.37411971830985913,0.02666666666666667,0.06518518518518518,0.18592592592592594,0.3762962962962963,0.6637037037037037,0.8185185185185185,0.9444444444444444,0.050775740479548664,0.11843876177658141,0.2970414201183432,0.500246184145741,0.6605234058238112,0.6509572901325479,0.5359394703656998
8,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2012, 12, 31, 0, 0))","(datetime.datetime(2013, 1, 1, 0, 0), datetime.datetime(2013, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=10,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=10,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 5, 'subsample': 0.1}",['demographic'],e_num_inc_20pct,,0.506883144938509,0.3283582089552239,0.35555555555555557,0.3047337278106509,0.3136094674556213,0.3062130177514793,0.3022682445759369,0.31775147928994085,0.01042654028436019,0.022748815165876776,0.04881516587677725,0.1004739336492891,0.1962085308056872,0.290521327014218,0.5090047393364929,0.020211299954065228,0.042761692650334075,0.08415032679738561,0.15218951902368988,0.2391681109185442,0.29627839536007733,0.3912568306010929
9,"(datetime.datetime(2006, 1, 1, 0, 0), datetime.datetime(2012, 12, 31, 0, 0))","(datetime.datetime(2013, 1, 1, 0, 0), datetime.datetime(2013, 12, 31, 0, 0))",GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.5, loss='deviance', max_depth=10,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=10,
              presort='auto', random_state=None, subsample=0.5, verbose=0,
              warm_start=False)","{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 5, 'subsample': 0.5}",['demographic'],e_num_inc_20pct,,0.5005259532424867,0.23880597014925373,0.21481481481481482,0.23372781065088757,0.2485207100591716,0.2744082840236686,0.2973372781065089,0.31124260355029587,0.007582938388625593,0.013744075829383886,0.03744075829383886,0.07962085308056872,0.17582938388625594,0.285781990521327,0.4985781990521327,0.014699127239320167,0.025835189309576838,0.06454248366013073,0.1206030150753769,0.21432697862507222,0.291445142580957,0.3832422586520947
