,feature,feature_importances
71,evictions_lag,0.359741006798637
70,eviction_filings_lag,0.15626539996863548
76,evictions_avg_3yr_lag,0.10849523739936946
80,evictions_avg_5yr_lag,0.09349110264827529
47,renter_occupied_households_pct_change_5yr,0.021322978456176023
0,population,0.01585018902278256
102,median_household_income_avg_5yr_tr,0.012643109442090386
16,median_property_value,0.010971267298116366
72,eviction_rate_lag,0.010666312505859362
54,total_value_avg_3yr,0.010538552931180235
114,pct_renter_occupied_avg_5yr_tr,0.009992538517757622
138,eviction_rate_avg_3yr_lag_tr,0.008379372239212077
58,total_bldg_pct_change_1yr,0.00775179446814925
49,total_bldg,0.007435481053630261
151,evictions_pct_change_3yr_lag_tr,0.00726514948101221
55,total_bldg_avg_5yr,0.006761713821271109
103,median_property_value_avg_5yr_tr,0.006068165959759812
133,eviction_rate_lag_tr,0.006011235719267086
11,renter_occupied_households,0.005924575631045704
109,pct_asian_avg_5yr_tr,0.00576679427308969
60,total_value_pct_change_1yr,0.00544352906219092
132,evictions_lag_tr,0.005424543079770609
88,conversion_rate_pct_change_1yr_lag,0.005406774466677135
63,total_value_pct_change_3yr,0.005224467061843774
75,eviction_filings_avg_3yr_lag,0.0050596725213083085
106,pct_af_am_avg_5yr_tr,0.004790337101940048
30,pct_other_avg_5yr,0.004565865155724951
147,eviction_rate_pct_change_1yr_lag_tr,0.004127794063198113
95,evictions_pct_change_5yr_lag,0.004127035383283708
52,total_bldg_avg_3yr,0.004019723430771779
144,conversion_rate_avg_5yr_lag_tr,0.0039256791981554726
79,eviction_filings_avg_5yr_lag,0.0038657117153643233
51,total_value,0.0037388990522132454
31,renter_occupied_households_avg_5yr,0.003686313747682755
15,median_household_income,0.003663565647236639
153,eviction_filing_rate_pct_change_3yr_lag_tr,0.003628036701731724
119,median_property_value_pct_change_5yr_tr,0.0031575031959292744
115,population_pct_change_5yr_tr,0.0031498531966084584
7,pct_asian,0.003145334932995832
154,conversion_rate_pct_change_3yr_lag_tr,0.003138925253457446
1,poverty_rate,0.003069837741575546
93,conversion_rate_pct_change_3yr_lag,0.0028709434846731306
85,evictions_pct_change_1yr_lag,0.0028051458727802103
10,pct_other,0.0027818888611406017
89,eviction_filings_pct_change_3yr_lag,0.0023758926985767465
108,pct_am_ind_avg_5yr_tr,0.0020982038372949373
92,eviction_filing_rate_pct_change_3yr_lag,0.0020753808701900675
22,rent_burden_avg_5yr,0.0020445061979542617
135,conversion_rate_lag_tr,0.002019332497485972
150,eviction_filings_pct_change_3yr_lag_tr,0.0017624600292308137
129,renter_occupied_households_pct_change_5yr_tr,0.0017351423710259938
94,eviction_filings_pct_change_5yr_lag,0.0016881978979848805
86,eviction_rate_pct_change_1yr_lag,0.0016665193927147925
159,conversion_rate_pct_change_5yr_lag_tr,0.0016643910377372097
74,conversion_rate_lag,0.0016519130854446122
148,eviction_filing_rate_pct_change_1yr_lag_tr,0.0016090243972882185
62,total_units_pct_change_3yr,0.0014069975922459848
134,eviction_filing_rate_lag_tr,0.0012783795598022454
127,pct_multiple_pct_change_5yr_tr,0.0012087543205343567
45,pct_multiple_pct_change_5yr,0.0011586117534452352
136,eviction_filings_avg_3yr_lag_tr,0.0011076617508181392
40,pct_af_am_pct_change_5yr,0.0011028679744341907
13,rent_burden,0.0009627364335879631
121,pct_white_pct_change_5yr_tr,0.0007573670518306087
12,avg_hh_size,0.0005562206584519667
28,pct_nh_pi_avg_5yr,0.0005153899290308977
50,total_units,0.00034961484011005096
17,population_avg_5yr,0.0003427413742737287
35,median_gross_rent_pct_change_5yr,0.0002787783401075974
32,pct_renter_occupied_avg_5yr,0.00016108691172853372
36,median_household_income_pct_change_5yr,0.00013655252994226053
19,median_gross_rent_avg_5yr,7.600699390307166e-05
152,eviction_rate_pct_change_3yr_lag_tr,4.442773766997428e-05
141,evictions_avg_5yr_lag_tr,5.482371583620665e-06
107,pct_hispanic_avg_5yr_tr,0.0
149,conversion_rate_pct_change_1yr_lag_tr,0.0
110,pct_nh_pi_avg_5yr_tr,0.0
111,pct_multiple_avg_5yr_tr,0.0
157,eviction_rate_pct_change_5yr_lag_tr,0.0
155,eviction_filings_pct_change_5yr_lag_tr,0.0
158,eviction_filing_rate_pct_change_5yr_lag_tr,0.0
146,evictions_pct_change_1yr_lag_tr,0.0
112,pct_other_avg_5yr_tr,0.0
113,renter_occupied_households_avg_5yr_tr,0.0
145,eviction_filings_pct_change_1yr_lag_tr,0.0
131,eviction_filings_lag_tr,0.0
125,pct_asian_pct_change_5yr_tr,0.0
124,pct_am_ind_pct_change_5yr_tr,0.0
120,rent_burden_pct_change_5yr_tr,0.0
123,pct_hispanic_pct_change_5yr_tr,0.0
122,pct_af_am_pct_change_5yr_tr,0.0
126,pct_nh_pi_pct_change_5yr_tr,0.0
128,pct_other_pct_change_5yr_tr,0.0
137,evictions_avg_3yr_lag_tr,0.0
156,evictions_pct_change_5yr_lag_tr,0.0
139,eviction_filing_rate_avg_3yr_lag_tr,0.0
143,eviction_filing_rate_avg_5yr_lag_tr,0.0
118,median_household_income_pct_change_5yr_tr,0.0
105,pct_white_avg_5yr_tr,0.0
117,median_gross_rent_pct_change_5yr_tr,0.0
116,poverty_rate_pct_change_5yr_tr,0.0
130,pct_renter_occupied_pct_change_5yr_tr,0.0
142,eviction_rate_avg_5yr_lag_tr,0.0
140,eviction_filings_avg_5yr_lag_tr,0.0
6,pct_am_ind,0.0
104,rent_burden_avg_5yr_tr,0.0
33,population_pct_change_5yr,0.0
48,pct_renter_occupied_pct_change_5yr,0.0
5,pct_hispanic,0.0
46,pct_other_pct_change_5yr,0.0
44,pct_nh_pi_pct_change_5yr,0.0
43,pct_asian_pct_change_5yr,0.0
42,pct_am_ind_pct_change_5yr,0.0
41,pct_hispanic_pct_change_5yr,0.0
39,pct_white_pct_change_5yr,0.0
38,rent_burden_pct_change_5yr,0.0
37,median_property_value_pct_change_5yr,0.0
34,poverty_rate_pct_change_5yr,0.0
29,pct_multiple_avg_5yr,0.0
56,total_units_avg_5yr,0.0
27,pct_asian_avg_5yr,0.0
26,pct_am_ind_avg_5yr,0.0
25,pct_hispanic_avg_5yr,0.0
24,pct_af_am_avg_5yr,0.0
23,pct_white_avg_5yr,0.0
21,median_property_value_avg_5yr,0.0
20,median_household_income_avg_5yr,0.0
18,poverty_rate_avg_5yr,0.0
14,median_gross_rent,0.0
9,pct_multiple,0.0
8,pct_nh_pi,0.0
53,total_units_avg_3yr,0.0
57,total_value_avg_5yr,0.0
101,median_gross_rent_avg_5yr_tr,0.0
78,eviction_filing_rate_avg_3yr_lag,0.0
100,poverty_rate_avg_5yr_tr,0.0
99,population_avg_5yr_tr,0.0
98,conversion_rate_pct_change_5yr_lag,0.0
97,eviction_filing_rate_pct_change_5yr_lag,0.0
96,eviction_rate_pct_change_5yr_lag,0.0
91,eviction_rate_pct_change_3yr_lag,0.0
90,evictions_pct_change_3yr_lag,0.0
87,eviction_filing_rate_pct_change_1yr_lag,0.0
84,eviction_filings_pct_change_1yr_lag,0.0
82,eviction_filing_rate_avg_5yr_lag,0.0
81,eviction_rate_avg_5yr_lag,0.0
77,eviction_rate_avg_3yr_lag,0.0
59,total_units_pct_change_1yr,0.0
2,pct_renter_occupied,0.0
73,eviction_filing_rate_lag,0.0
3,pct_white,0.0
4,pct_af_am,0.0
69,urban,0.0
68,div_enc,0.0
67,div_sa,0.0
66,total_value_pct_change_5yr,0.0
65,total_units_pct_change_5yr,0.0
64,total_bldg_pct_change_5yr,0.0
61,total_bldg_pct_change_3yr,0.0
83,conversion_rate_avg_5yr_lag,0.0
