,attribute_name,attribute_value,k,model_id,score_threshold,tpr,tnr,for,fdr,fpr,fnr,npv,precision,pp,pn,ppr,pprev,fp,fn,tn,tp,group_label_neg,group_label_pos,group_size,total_entities,prev,ppr_disparity,pprev_disparity,precision_disparity,fdr_disparity,for_disparity,fpr_disparity,fnr_disparity,tpr_disparity,tnr_disparity,npv_disparity,ppr_ref_group_value,pprev_ref_group_value,precision_ref_group_value,fdr_ref_group_value,for_ref_group_value,fpr_ref_group_value,fnr_ref_group_value,tpr_ref_group_value,tnr_ref_group_value,npv_ref_group_value,Statistical Parity,Impact Parity,FDR Parity,FPR Parity,FOR Parity,FNR Parity,TPR Parity,TNR Parity,NPV Parity,Precision Parity,TypeI Parity,TypeII Parity,Equalized Odds,Unsupervised Fairness,Supervised Fairness
0,pct_renter_occupied_bins,high,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,64,411,0.064,0.13473684210526315,0,0,0,0,0,0,475,6654,0.0,0.16452442159383032,1.0564199702340684,,,,,,,,,low,low,low,low,low,low,low,low,low,low,False,True,,,,,,,,,,,,False,
1,pct_renter_occupied_bins,low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,389,2661,0.389,0.12754098360655738,0,0,0,0,0,0,3050,6654,0.0,1.0,1.0,,,,,,,,,low,low,low,low,low,low,low,low,low,low,True,True,,,,,,,,,,,,True,
2,pct_renter_occupied_bins,med-high,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,170,927,0.17,0.15496809480401094,0,0,0,0,0,0,1097,6654,0.0,0.43701799485861187,1.2150454733990574,,,,,,,,,low,low,low,low,low,low,low,low,low,low,False,True,,,,,,,,,,,,False,
3,pct_renter_occupied_bins,med-low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,377,1655,0.377,0.18553149606299213,0,0,0,0,0,0,2032,6654,0.0,0.9691516709511568,1.4546813958666478,,,,,,,,,low,low,low,low,low,low,low,low,low,low,True,False,,,,,,,,,,,,False,
4,pct_white_bins,high,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,525,3053,0.525,0.14673001676914477,0,0,0,0,0,0,3578,6654,0.0,3.088235294117647,0.895916220037484,,,,,,,,,low,low,low,low,low,low,low,low,low,low,False,True,,,,,,,,,,,,False,
5,pct_white_bins,low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,170,868,0.17,0.16377649325626203,0,0,0,0,0,0,1038,6654,0.0,1.0,1.0,,,,,,,,,low,low,low,low,low,low,low,low,low,low,True,True,,,,,,,,,,,,True,
6,pct_white_bins,med-high,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,200,1090,0.2,0.15503875968992248,0,0,0,0,0,0,1290,6654,0.0,1.1764705882352942,0.9466484268125855,,,,,,,,,low,low,low,low,low,low,low,low,low,low,True,True,,,,,,,,,,,,True,
7,pct_white_bins,med-low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,105,643,0.105,0.14037433155080214,0,0,0,0,0,0,748,6654,0.0,0.6176470588235293,0.8571091538219566,,,,,,,,,low,low,low,low,low,low,low,low,low,low,False,True,,,,,,,,,,,,False,
8,pct_af_am_bins,high,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,67,446,0.067,0.13060428849902533,0,0,0,0,0,0,513,6654,0.0,1.0,1.0,,,,,,,,,high,high,high,high,high,high,high,high,high,high,True,True,,,,,,,,,,,,True,
9,pct_af_am_bins,low,1000,1,1000.0_abs,,,0.0,0.0,,,0.0,0.0,764,4257,0.764,0.15216092411870144,0,0,0,0,0,0,5021,6654,0.0,11.402985074626866,1.1650530458640873,,,,,,,,,high,high,high,high,high,high,high,high,high,high,False,True,,,,,,,,,,,,False,
