,feature,feature_importances
8,total_value_avg_5yr,0.0998331354635875
7,total_units_avg_5yr,0.09772872023118646
5,total_value_avg_3yr,0.08063800052335533
4,total_units_avg_3yr,0.07682900486300304
1,total_units,0.0732615468791123
6,total_bldg_avg_5yr,0.0715400955605737
0,total_bldg,0.07075018878887239
2,total_value,0.06903134200622472
20,urban,0.06767749484515784
3,total_bldg_avg_3yr,0.063786459120415
17,total_value_pct_change_5yr,0.05607653663098119
14,total_value_pct_change_3yr,0.053456296539768605
11,total_value_pct_change_1yr,0.052281151475722466
18,div_sa,0.023870624237419247
19,div_enc,0.018399439645244608
13,total_units_pct_change_3yr,0.006521247463242239
16,total_units_pct_change_5yr,0.005332977556560549
15,total_bldg_pct_change_5yr,0.0044632127560745435
12,total_bldg_pct_change_3yr,0.0039315171275958695
10,total_units_pct_change_1yr,0.003194175584838989
9,total_bldg_pct_change_1yr,0.0013968327010635039
