,feature,feature_importances
71,evictions_lag,0.10192429477891327
70,eviction_filings_lag,0.09002712779384917
76,evictions_avg_3yr_lag,0.07099708823942005
80,evictions_avg_5yr_lag,0.06089899034838229
79,eviction_filings_avg_5yr_lag,0.0583162480787391
75,eviction_filings_avg_3yr_lag,0.04479699063742123
148,evictions_lag_tr,0.03012486158046311
31,renter_occupied_households_avg_5yr,0.02453409501330633
157,evictions_avg_5yr_lag_tr,0.023183042793830797
11,renter_occupied_households,0.02256619153357498
82,eviction_filing_rate_avg_5yr_lag,0.02096005067308474
153,evictions_avg_3yr_lag_tr,0.019013628119449948
147,eviction_filings_lag_tr,0.017743030374900184
81,eviction_rate_avg_5yr_lag,0.017234320497986712
72,eviction_rate_lag,0.015765571691414758
152,eviction_filings_avg_3yr_lag_tr,0.014421164641391331
156,eviction_filings_avg_5yr_lag_tr,0.014332986852885579
78,eviction_filing_rate_avg_3yr_lag,0.012413683698622191
73,eviction_filing_rate_lag,0.01227387529033929
149,eviction_rate_lag_tr,0.01210084674327482
32,pct_renter_occupied_avg_5yr,0.011402628629958689
77,eviction_rate_avg_3yr_lag,0.010997578857944083
150,eviction_filing_rate_lag_tr,0.008830463743150798
24,pct_af_am_avg_5yr,0.006333793440604232
2,pct_renter_occupied,0.006314428260432915
155,eviction_filing_rate_avg_3yr_lag_tr,0.005349542082973823
74,conversion_rate_lag,0.0049246170559436855
154,eviction_rate_avg_3yr_lag_tr,0.004415731127805304
130,pct_renter_occupied_avg_5yr_tr,0.004049956333198667
159,eviction_filing_rate_avg_5yr_lag_tr,0.003976365158505401
151,conversion_rate_lag_tr,0.003597957950371293
129,renter_occupied_households_avg_5yr_tr,0.003521052897352517
83,conversion_rate_avg_5yr_lag,0.003247426976536579
113,renter_occupied_households_tr,0.003206954386189025
0,population,0.0030419268375957093
17,population_avg_5yr,0.0029719532074275294
86,eviction_rate_pct_change_1yr_lag,0.0029284991884566012
89,eviction_filings_pct_change_3yr_lag,0.0028927064049713634
91,eviction_rate_pct_change_3yr_lag,0.0028194677337747298
160,conversion_rate_avg_5yr_lag_tr,0.0028066503901253547
158,eviction_rate_avg_5yr_lag_tr,0.0027869303192270076
92,eviction_filing_rate_pct_change_3yr_lag,0.0027346548007343113
15,median_household_income,0.0027074725485435793
87,eviction_filing_rate_pct_change_1yr_lag,0.0026615029053861238
122,pct_af_am_avg_5yr_tr,0.002625756464968611
90,evictions_pct_change_3yr_lag,0.0025965639291073996
85,evictions_pct_change_1yr_lag,0.0024790292173544866
168,eviction_rate_pct_change_3yr_lag_tr,0.002407397271443065
47,renter_occupied_households_pct_change_5yr,0.0023879376996979455
3,pct_white,0.002361204683509451
167,evictions_pct_change_3yr_lag_tr,0.0023179173200803646
169,eviction_filing_rate_pct_change_3yr_lag_tr,0.0023024489475724336
60,total_value_pct_change_1yr,0.0022648543192769375
1,poverty_rate,0.0022532381549626996
63,total_value_pct_change_3yr,0.0022346160275269035
145,renter_occupied_households_pct_change_5yr_tr,0.002206683644619031
166,eviction_filings_pct_change_3yr_lag_tr,0.002190283758055985
100,poverty_rate_tr,0.0021698340344815433
84,eviction_filings_pct_change_1yr_lag,0.002135209915834192
88,conversion_rate_pct_change_1yr_lag,0.0021328071911330677
23,pct_white_avg_5yr,0.002122906002539267
66,total_value_pct_change_5yr,0.002118909828345186
114,pct_renter_occupied_tr,0.002112735501948091
18,poverty_rate_avg_5yr,0.0020636607778991302
119,median_property_value_avg_5yr_tr,0.002051070640191642
4,pct_af_am,0.002038744346095427
55,total_bldg_avg_5yr,0.002033758700012089
52,total_bldg_avg_3yr,0.002019327579661834
161,eviction_filings_pct_change_1yr_lag_tr,0.00199685874594535
22,rent_burden_avg_5yr,0.001966931205511995
20,median_household_income_avg_5yr,0.001963385265708694
48,pct_renter_occupied_pct_change_5yr,0.0019471323250407544
94,eviction_filings_pct_change_5yr_lag,0.001943042392049793
171,eviction_filings_pct_change_5yr_lag_tr,0.0019337540986237125
49,total_bldg,0.0018997325839250642
117,median_gross_rent_avg_5yr_tr,0.001896469978345419
106,pct_af_am_tr,0.0018898216642770848
116,poverty_rate_avg_5yr_tr,0.0018876713508247656
172,evictions_pct_change_5yr_lag_tr,0.001884086542375027
165,conversion_rate_pct_change_1yr_lag_tr,0.0018819136329601028
33,population_pct_change_5yr,0.0018766502380449016
12,avg_hh_size,0.0018746837871643817
127,pct_multiple_avg_5yr_tr,0.001867682758187913
21,median_property_value_avg_5yr,0.0018660594129543539
57,total_value_avg_5yr,0.001865711750691082
97,eviction_filing_rate_pct_change_5yr_lag,0.0018651862536118507
103,median_property_value_tr,0.0018625903598838217
132,poverty_rate_pct_change_5yr_tr,0.0018593473928670166
56,total_units_avg_5yr,0.0018582295443488148
163,eviction_rate_pct_change_1yr_lag_tr,0.001851507778423084
131,population_pct_change_5yr_tr,0.001849856312100958
29,pct_multiple_avg_5yr,0.0018470731615781307
164,eviction_filing_rate_pct_change_1yr_lag_tr,0.0018403985585084466
170,conversion_rate_pct_change_3yr_lag_tr,0.0018307228201253326
16,median_property_value,0.0018265070461447794
118,median_household_income_avg_5yr_tr,0.0018230395834710584
105,pct_white_tr,0.0018218560006712512
120,rent_burden_avg_5yr_tr,0.0018184534606225378
50,total_units,0.0018172187042129941
95,evictions_pct_change_5yr_lag,0.0018167323816853564
121,pct_white_avg_5yr_tr,0.0018127702763379313
93,conversion_rate_pct_change_3yr_lag,0.001812096703103372
115,population_avg_5yr_tr,0.0018112402339012976
53,total_units_avg_3yr,0.0018110050381998414
146,pct_renter_occupied_pct_change_5yr_tr,0.0018024429356983702
51,total_value,0.0017967855504043384
136,rent_burden_pct_change_5yr_tr,0.001788432459195581
36,median_household_income_pct_change_5yr,0.0017876760385758242
135,median_property_value_pct_change_5yr_tr,0.0017802206507038577
123,pct_hispanic_avg_5yr_tr,0.0017646463249013171
37,median_property_value_pct_change_5yr,0.001753096503150853
138,pct_af_am_pct_change_5yr_tr,0.0017492020463743937
102,median_household_income_tr,0.0017457849427845974
99,population_tr,0.0017364345405346698
25,pct_hispanic_avg_5yr,0.0017318043968064085
175,conversion_rate_pct_change_5yr_lag_tr,0.0017317817894589695
96,eviction_rate_pct_change_5yr_lag,0.0017247298742574645
162,evictions_pct_change_1yr_lag_tr,0.0017216413320658953
137,pct_white_pct_change_5yr_tr,0.001720133934198834
19,median_gross_rent_avg_5yr,0.0017156761943005147
38,rent_burden_pct_change_5yr,0.0017151779449358063
101,median_gross_rent_tr,0.0017104246312783914
133,median_gross_rent_pct_change_5yr_tr,0.0017022766759489558
54,total_value_avg_3yr,0.0017012797323085012
39,pct_white_pct_change_5yr,0.001689561237431989
134,median_household_income_pct_change_5yr_tr,0.0016874800929078293
35,median_gross_rent_pct_change_5yr,0.0016766214589364087
14,median_gross_rent,0.0016649329737946552
139,pct_hispanic_pct_change_5yr_tr,0.0016384519182672903
173,eviction_rate_pct_change_5yr_lag_tr,0.0016353570124357114
40,pct_af_am_pct_change_5yr,0.0016198238187473068
174,eviction_filing_rate_pct_change_5yr_lag_tr,0.0016164993924910151
104,rent_burden_tr,0.0016141300975555006
98,conversion_rate_pct_change_5yr_lag,0.0016102534305182845
13,rent_burden,0.001602369942096876
124,pct_am_ind_avg_5yr_tr,0.0015916172056464144
125,pct_asian_avg_5yr_tr,0.0015780393796968543
107,pct_hispanic_tr,0.0015561050877214535
111,pct_multiple_tr,0.0015057611815103183
34,poverty_rate_pct_change_5yr,0.0014881636684533537
27,pct_asian_avg_5yr,0.0014654467364000135
26,pct_am_ind_avg_5yr,0.001418696353279489
143,pct_multiple_pct_change_5yr_tr,0.001394474690915961
128,pct_other_avg_5yr_tr,0.0013880102590567505
5,pct_hispanic,0.0013256729145888256
9,pct_multiple,0.0012997790072340396
30,pct_other_avg_5yr,0.0012847123216898227
41,pct_hispanic_pct_change_5yr,0.0012760664396223064
109,pct_asian_tr,0.0011890257934300812
141,pct_asian_pct_change_5yr_tr,0.0011584043191610583
7,pct_asian,0.0009769101719475542
45,pct_multiple_pct_change_5yr,0.000963620323721096
126,pct_nh_pi_avg_5yr_tr,0.0009151978871608338
108,pct_am_ind_tr,0.0008858774691018483
43,pct_asian_pct_change_5yr,0.0008721543816040465
112,pct_other_tr,0.0007672639672900259
6,pct_am_ind,0.0007132255785182405
28,pct_nh_pi_avg_5yr,0.0006980945061019507
140,pct_am_ind_pct_change_5yr_tr,0.0006783252656958477
144,pct_other_pct_change_5yr_tr,0.0006313066094271739
10,pct_other,0.0005948536240855078
42,pct_am_ind_pct_change_5yr,0.0005739927396163825
46,pct_other_pct_change_5yr,0.000521601748774891
62,total_units_pct_change_3yr,0.0004817634895232565
110,pct_nh_pi_tr,0.0004001704752380186
142,pct_nh_pi_pct_change_5yr_tr,0.0003567797421742883
44,pct_nh_pi_pct_change_5yr,0.0003112974289203655
8,pct_nh_pi,0.0002641519785323127
65,total_units_pct_change_5yr,0.0002550678013668816
